Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
require a range of,species,species,temperature,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,*,
require climate conditions ensuring,species,species,exposure,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,*,
responsible for,species,veterinarian,species,Veterinarians are responsible for medical treatment of particular species.,veterinarian,,responsible for
focuses on,species,conservation program,species,A conservation program focuses on particular species it supports.,conservation program,,supports
specified diet,diet,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
fundamental aspect of care,diet,animal,diet,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",diet,,has specified diet
"herbivorous, carnivorous, omnivorous, piscivorous",diet,diet,animal,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
appropriate feeding strategies,diet,diet,animal,This classification helps in formulating appropriate feeding strategies.,,*,
specific nutrients required,diet,diet,animal,The diet is also related to specific nutrients required to maintain health and vitality.,,nutrients,
feeding schedule,diet,diet,animal,"For the diet, the feeding schedule is essential.",,feeding schedule,
special feeding technique,diet,diet,animal,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,feeding technique,
provides,enclosure,zoological garden,enclosure,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,zoological garden,,provides
characterized by,enclosure,enclosure,"size, type, climate conditions, vegetation","Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,+enclosure size;enclosure type;vegetation,+has climate conditions
design and maintenance of,enclosure,enclosure,"vital for health, providing adequate space, enrichment, security from potential stressors","The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
climate conditions of,enclosure,enclosure,complex and need to be tailored specifically to the needs of each species,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,climate conditions,,has climate conditions
blend of,enclosure,enclosure,"various controlled environmental factors including temperature, humidity, lighting, and ventilation","They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",climate conditions,,has climate conditions
element of,enclosure,enclosure,temperature,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,*,
require a range of temperatures within,enclosure,enclosure,"animal species, particularly reptiles","Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,*,
climate conditions of,enclosure,enclosure,consistent with the natural light patterns of an animal's native habitat,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
climate conditions of,enclosure,enclosure,essential for maintaining air quality and appropriate,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,*,
assigned to,enclosure,caretakers and zoologists,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,+caretaker;zoologist,,+assigned as caretaker;assigned to as zoologist
have,enclosure,enclosure,caretakers,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,caretaker,,assigned as caretaker
climate conditions,climate conditions,enclosure,climate conditions,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",enclosure,,has climate conditions
controlled by,climate conditions,climate conditions,environmental factors,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,+temperature;humidity level;light cycles;ventilation,
element of,climate conditions,climate conditions,temperature,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,temperature,
aspect of,climate conditions,climate conditions,humidity,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,humidity level,
consistent with,climate conditions,climate conditions,light cycles,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,light cycles,
ensuring,climate conditions,climate conditions,ultraviolet light exposure,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,ultraviolet light,
essential for maintaining,climate conditions,climate conditions,air quality and appropriate climate conditions,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,ventilation,
includes,staff member,staff member,job title,"They include zoologists, veterinarians, caretakers, and administrative personnel.",+zoologists;veterinarians;caretakers;administrative personnel,,*
has,staff member,staff member,name,Each staff member has a name and expertise.,,name,
has,staff member,staff member,expertise,Each staff member has a name and expertise.,,expertise,
keeps,staff member,administrative personnel,staff member,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",administrative personnel,,*
affects,staff member,staff member,animal welfare,Their expertise directly affects animal welfare.,,,
manages,zoologist,zoologist,animal diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
works with,zoologist,zoologist,animal species,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics.",,,
responsible for medical treatment,veterinarian,veterinarian,species,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. Their expertise directly affects animal welfare. Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",species,,responsible for
assigned to,caretaker,caretaker,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for. Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,assigned as caretaker
responsible for,caretaker,caretaker,enclosure,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure. An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,enclosure,,assigned as caretaker
daily care and behavioral training of,caretaker,caretaker,animal,daily care and behavioral training of the animals in the enclosure.,,,
participates in,conservation program,zoological garden,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,zoological garden,,participates in
collaborates with,conservation program,conservation program,global conservation entity,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
supports,conservation program,conservation program,species,A conservation program focuses on particular species it supports.,species,,supports
part of,reintroduction conservation program,animal,reintroduction conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,is part of program
