Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
keeps,staff member,administrative personnel,staff member,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,,
affects,staff member,staff member,animal welfare,Their expertise directly affects animal welfare.,,,
assigned to,zoologist,zoologist,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,assigned to as zoologist
includes,zoologist,class,zoologist,"They include zoologists, veterinarians, caretakers, and administrative personnel.",+zoologist;veterinarian;caretaker;administrative personnel,,*
responsible for,veterinarian,veterinarian,species,Veterinarians are responsible for medical treatment of particular species.,species,,responsible for
assigned to,veterinarian,veterinarian,enclosure,"Therefore, they are not assigned to enclosures or individual animals but species.",,,
assigned to,veterinarian,veterinarian,individual animal,"Therefore, they are not assigned to enclosures or individual animals but species.",,,
is assigned to,caretaker,caretaker,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,assigned as caretaker
is responsible for,caretaker,caretaker,enclosure,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,assigned as caretaker
must have,caretaker,enclosure,caretaker,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,enclosure,,assigned as caretaker
participates in,conservation program,zoological garden,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,zoological garden,,participates in
focuses on,conservation program,conservation program,species,Conservation programs focus on particular species it supports.,species,,supports
collaborates with,conservation program,conservation program,global conservation entities,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
collaborate,reintroduction conservation program,reintroduction conservation program,global conservation entity,These conservation programs often collaborate with global conservation entities,,,*
part of,reintroduction conservation program,animal,reintroduction conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,is part of program
pivotal in,reintroduction conservation program,reintroduction conservation program,"research, breeding programs, reintroduction efforts","and are pivotal in research, breeding programs, and reintroduction efforts.",,,
