Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
ventilation,enclosure,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,*,
caretakers,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,caretaker,,assigned as caretaker
species,enclosure,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,species,,resident of
zoological garden,enclosure,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,zoological garden,,provides
resident species,enclosure,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,species,,resident of
management and mating,enclosure,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,,
enrichment,enclosure,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,*,
security,enclosure,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
size,climate conditions,size in square meters,,,
type,climate conditions,"type (e.g., aviary, aquarium, terrarium)",,,
climate conditions,climate conditions,climate conditions,,,
vegetation,climate conditions,"vegetation, tailored to the needs of specific species in the enclosure",,,
temperature,climate conditions,temperature,,temperature,
humidity,climate conditions,humidity,,humidity level,
lighting,climate conditions,lighting,,light cycles,
ventilation,climate conditions,ventilation,,ventilation,
ultraviolet light,climate conditions,ultraviolet light,,ultraviolet light,
metabolic bone disease,climate conditions,metabolic bone disease,,,
type,staff member,Staff members of zoological gardens are integral to their operation,-zoologists;veterinarians;caretakers;administrative personnel,,*
position,staff member,"They include zoologists, veterinarians, caretakers, and administrative personnel",+zoologists;veterinarians;caretakers;administrative personnel,,*
name,staff member,Each staff member has a name,,name,
expertise,staff member,and expertise,,expertise,
birth date,staff member,"For the administrative purposes, we need to keep staff member's birth date",,birth date,
permanent address,staff member,and permanent address,,permanent address,
affects,staff member,Their expertise directly affects animal welfare,,,
iucn status,conservation program,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,,
diet,conservation program,diet of a particular animal in a zoological setting,,,
reproductive details,conservation program,reproductive details of animal species,,,
conservation programs,conservation program,conservation programs a zoological garden participates in,zoological garden,,participates in
supported species,conservation program,conservation program focuses on particular species it supports,species,,supports
collaboration,conservation program,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
reintroduction animals,conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,:is part of program
