Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
gestation period,diet,"Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period",,,
number of eggs,diet,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices",,,
enclosures,diet,Enclosures are specialized habitats designed to mimic the natural environments of the resident species. They are critical for the ethical display and conservation of animals,,,
enclosure characteristics,diet,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure",,,
climate conditions,diet,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species,,,
temperature,diet,Temperature is perhaps the most critical element in an enclosure's climate conditions,,,
humidity levels,diet,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments",,,
light cycles,diet,Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms,,,
ventilation,diet,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,,
staff members,diet,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel",,,
staff member name and expertise,diet,Each staff member has a name and expertise,,,
staff member birth date and permanent address,diet,"For the administrative purposes, we need to keep staff member's birth date and permanent address",,,
conservation programs,diet,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies,,,
conservation program species focus,diet,A conservation program focuses on particular species it supports,,,
conservation program geographic focus,diet,Conversation programs with ex-situ strategies also focus on specific countries or geographic regions,,,
conservation program collaboration,diet,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts",,,
reintroduction conservation programs,diet,Specific animals may be part of reintroduction conservation programs,,,
species name,oviparous species,"each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",,:species name,
species common name,oviparous species,"each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",,:species common name,
iucn status,oviparous species,"each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",,:iucn status,
diet,oviparous species,Specified diet which is crucial for managing their welfare and conservation status of the animal.,,,
name,oviparous species,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,,
reproductive health and management information,oviparous species,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,,
number of eggs,oviparous species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,number of laid eggs,
enclosure,oviparous species,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,enclosure,,:resident of
enclosure size,oviparous species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure type,oviparous species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
climate conditions,oviparous species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
vegetation,oviparous species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
temperature,oviparous species,"Temperature is perhaps the most critical element in an enclosure's climate conditions. Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,,
humidity,oviparous species,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,,
light cycles,oviparous species,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
ventilation,oviparous species,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,,
staff member,oviparous species,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",,,
staff member name,oviparous species,Each staff member has a name and expertise.,,,
staff member expertise,oviparous species,Each staff member has a name and expertise.,,,
staff member birth date,oviparous species,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,,
staff member permanent address,oviparous species,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,,
caretaker assignment,oviparous species,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,,,
zoologist assignment,oviparous species,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,,,
caretaker responsibilities,oviparous species,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,,,
veterinarian responsibilities,oviparous species,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",veterinarian,,:responsible for
conservation program species focus,oviparous species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports.,conservation program,,:supports
conservation program geographic focus,oviparous species,Conservation programs with ex-situ strategies also focus on specific countries or geographic regions.,,,
conservation program collaboration,oviparous species,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,
reintroduction program participation,oviparous species,Specific animals may be part of reintroduction conservation programs.,,,
size,enclosure,An enclosure is characterized by its size in square meters,,enclosure size,
type,enclosure,"type (e.g., aviary, aquarium, terrarium)",,enclosure type,
climate conditions,enclosure,climate conditions,climate conditions,,has climate conditions
vegetation,enclosure,"and vegetation, tailored to the needs of specific species in the enclosure",,vegetation,
temperature,enclosure,temperature,,*,
humidity,enclosure,humidity,,*,
lighting,enclosure,lighting,,*,
ventilation,enclosure,and ventilation,,*,
thermal preference,enclosure,Each species has a specific thermal preference based on its natural habitat,,,
levels,enclosure,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments",,*,
cycles,enclosure,Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms,,*,
air quality,enclosure,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,*,
climate conditions,climate conditions,climate conditions,,,
temperature,climate conditions,temperature,,temperature,
humidity levels,climate conditions,humidity levels,,humidity level,
light cycles,climate conditions,light cycles (day and night),,light cycles,
ultraviolet light,climate conditions,exposure to ultraviolet light,,ultraviolet light,
ventilation,climate conditions,proper ventilation,,ventilation,
role,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. Each staff member has a name and expertise. For the administrative purposes, we need to keep staff member's birth date and permanent address.",+zoologists;veterinarians;caretakers;administrative personnel,,*
assigned enclosures,staff member,Caretakers and zoologists are assigned to particular enclosures they are responsible for. Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure. An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,enclosure,,+:assigned as caretaker;:assigned to as zoologist
responsible species,staff member,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",species,,:responsible for
name,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. Each staff member has a name and expertise. For the administrative purposes, we need to keep staff member's birth date and permanent address.",,name,
expertise,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. Each staff member has a name and expertise. For the administrative purposes, we need to keep staff member's birth date and permanent address.",,expertise,
birth date,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. Each staff member has a name and expertise. For the administrative purposes, we need to keep staff member's birth date and permanent address.",,birth date,
permanent address,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. Each staff member has a name and expertise. For the administrative purposes, we need to keep staff member's birth date and permanent address.",,permanent address,
purpose,conservation program,"A zoological garden is a complex entity where the interplay of biological diversity, human interaction, and environmental management coalesce into a singular institution aimed at conservation, education, and research.",,*,
central entities,conservation program,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics.",,,*
species properties,conservation program,"Properties such as species name and species common name, and IUCN status characterize the species.",,,
diet,conservation program,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
animal name,conservation program,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,,
names format,conservation program,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,,
iucn status,conservation program,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,,
reproductive details,conservation program,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,,
reproductive age,conservation program,"First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,,
breeding season,conservation program,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,,
gestation period,conservation program,"Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period.",,,
egg number,conservation program,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,,
enclosure purpose,conservation program,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
enclosure characteristics,conservation program,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
climate conditions,conservation program,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
controlled environmental factors,conservation program,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,,
temperature importance,conservation program,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,,
temperature range,conservation program,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,,
humidity importance,conservation program,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,,
light cycles,conservation program,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
uv light requirement,conservation program,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,,
ventilation importance,conservation program,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,,
staff importance,conservation program,Staff members of zoological gardens are integral to their operation.,,,
staff roles,conservation program,"They include zoologists, veterinarians, caretakers, and administrative personnel.",,,
staff attributes,conservation program,Each staff member has a name and expertise.,,,
staff administrative details,conservation program,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,,
staff expertise effect,conservation program,Their expertise directly affects animal welfare.,,,
caretaker and zoologist assignment,conservation program,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,,,
caretaker responsibilities,conservation program,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,,,
caretaker quantity,conservation program,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,,,
veterinarian responsibilities,conservation program,Veterinarians are responsible for medical treatment of particular species.,,,
veterinarian assignment,conservation program,"Therefore, they are not assigned to enclosures or individual animals but species.",,,
conservation purpose,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,*,
conservation focus,conservation program,A conservation program focuses on particular species it supports.,species,,supports
ex-situ focus,conservation program,Conversation programs with ex-situ strategies also focus on specific countries or geographic regions.,,+country;geographic region,
conservation collaboration,conservation program,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
reintroduction programs,conservation program,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,*
