Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
type,vehicle,"motorcycles, passenger cars, buses, lorries, special purpose vehicles, and powered wheelchairs",-motorcycle;passenger car;bus;lorry;special purpose vehicle;powered wheelchair,,*
type,vehicle,"agricultural or forestry tractors and their trailers, self-propelled work machines, work machines carried, work machines attached, interchangeable towed equipment, vehicles designed primarily for driving on snow, vehicles designed primarily for off-road driving, single-axle tractors and their trailers, special tractors and their trailers, carriers of working adaptors and other special vehicles",-agricultural tractor;forestry tractor;self-propelled work machine;work machine carried;work machine attached;interchangeable towed equipment;snow vehicle;off-road vehicle;single-axle tractor;special tractor;carrier of working adaptors,,*
type,vehicle,a non-motorised road vehicle intended to be towed by another vehicle to which it is coupled in a combination,non-motorised road vehicle,,*
system,vehicle,brakes or emission reduction devices,vehicle system,,:has vehicle system
component,vehicle,a lamp,,,
component,vehicle,"the rear bumper of a vehicle, or a fixed or swap body of a vehicle",,,
manufacturer,vehicle,"a person who manufactures a vehicle, its system, component or separate technical unit or has it designed or manufactured and markets it under his own name or trademark or uses it for his own account",manufacturer,,manufactures vehicle
completion status,vehicle,any vehicle that must undergo at least one further stage of completion in order to meet the relevant technical requirements,,*,
owner,vehicle,"an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations",,,:has owner
operator,vehicle,"an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations",,,:has operator
identification number,vehicle,uniquely identified by its vehicle identification number,,:vehicle identification number,
registration plate,vehicle,assigned a registration plate and a registration certificate is issued for the road vehicle,registration plate,,assigned to
registration certificate,vehicle,assigned a registration plate and a registration certificate is issued for the road vehicle,registration certificate,,issued for
registration identifier,vehicle,the numberic or alphanumeric registration identifier on the registration plate that uniquely identifies the road vehicle within the registration country,,*,
registration date,vehicle,the date on which the registration plate was assigned,,*,
registration date,vehicle,the date of registration of the road vehicle,,*,
certificate number,vehicle,the number of the certificate which identifies the certificate,,,
first registration date,vehicle,the date of the first registration of the road vehicle which can be a registration in the same or another country,,*,
last registration state,vehicle,the state of the last registration of the road vehicle,,*,
last registration certificate number,vehicle,the number of the registration certificate of the road vehicle or similar document issued in the state of last registration,,,
last registration identifier,vehicle,"the identifier on the registration plate assigned to the road vehicle on the last registration, if the state of last registration is different",,,
insurance,vehicle,information on the insurance against liability for damage caused by the operation of the vehicle,third party insurance,,covered by insurance
purpose,vehicle,the purpose for which the road vehicle is intended,,:purpose,
category,vehicle,the category of road vehicle,,vehicle category,
manufacturer's factory mark,vehicle,the manufacturer's factory mark as specified by the road vehicle manufacturer,,:factory mark,
trade name,vehicle,the trade name if specified by the road vehicle manufacturer,,:trade name,
type,vehicle,the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer,,:type,
engine data,vehicle,the engine data for the road vehicle that include the type of engine specified by the manufacturer of the road vehicle,engine,,:has engine
engine type,vehicle,the type of engine specified by the manufacturer of the road vehicle,,,
engine power,vehicle,the engine power specified by the road vehicle manufacturer in kW/rpm in the case of an internal combustion engine or in kW in the case of other engines,,,
engine displacement,vehicle,the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3,,,
fuel type,vehicle,the fuel type of the road vehicle,,:*,
bodywork,vehicle,"type, serial number and colour of the bodywork of the road vehicle, number of seats and standing places or beds, dimensions of the loading area, volume of the box or tank",bodywork,,:has bodywork
dimensions,vehicle,the overall dimensions of the road vehicle,,:dimensions,
weight,vehicle,"the maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle",,-:max technically permissible weight;:max persmissible weight;:max permissible operating weight;:max technically permissible weight per axle;:max permissible weight per axle,
coupling device,vehicle,"the type of coupling device built into the motorised road vehicle, the maximum technically permissible mass of the trailer, the maximum permissible mass of the trailer, the maximum technically permissible mass of the combination and the maximum permissible mass of the combination",,-:coupling device;max permissible combination mass;max technically permissible combination mass;max permissible trailer mass;max permissible trailer mass,
technical inspection,vehicle,"data on technical inspections of the road vehicle which is the type of technical inspection carried out, the date on which the technical inspection was carried out, the date of validity of the technical inspection, the designation of the technical inspection station that carried out the technical inspection, and data on the condition of the road vehicle according to the result of the technical inspection",technical inspection,,:inspected by
insurance,vehicle,a third party insurance against liability for damage caused by the operation of the vehicle,third party insurance,,:covered by insurance
green card,vehicle,an international certificate proving that the road vehicle has been covered by a third party insurance against liability for damage caused by the operation of the road vehicle specified in the certificate as the insured vehicle,green card,,:is proof for vehicle
insurance contract,vehicle,an insurance contract concluded between the policyholder and the insurer,insurance contract,,:*
insurance details,vehicle,"the designation of the insurer, the policyholder, and the insured road vehicle",,,
insurance details,vehicle,"the duration of the insurance, the limit of the insurance benefit, the amount of the premium, its maturity, the method of payment and the form and place of notification of the claim",,,
technical inspection,vehicle,"a technical inspection of a road vehicle which includes the technical condition and functioning of a road vehicle, its systems, components and separate technical units and their environmental impact or a registration test of a road vehicle",technical inspection,,:inspected by
technical inspection station,vehicle,a workplace specialised in carrying out technical inspections of road vehicles,,,
emissions measurement,vehicle,emissions measurement as part of the technical inspection,emission measurement,,:*
emissions report,vehicle,a report on the emission measurement which shall be handed over to the natural person who brought the vehicle to the emission measurement station,,,:*
emissions results,vehicle,the results of the emission measurement,emission measurement result,,:*
defect level,vehicle,"a minor defect which does not significantly affect the operational characteristics of the vehicle, road safety or the environment",minor defect,,:has road vehicle defect
defect level,vehicle,"a serious defect which affects the operational characteristics of the vehicle, is liable to endanger road traffic, may adversely affect the environment or consists of a serious deficiency in the identification of the vehicle",serious defect,,:has road vehicle defect
defect level,vehicle,"a dangerous defect which poses an immediate threat to the safety of the road vehicle, to road traffic or to the environment",dangerous defect,,:has road vehicle defect
purpose,motorised road vehicle,"a motorised or non-motorised vehicle which is constructed for use on roads for the carriage of persons, animals or goods.",,:purpose,
type,motorised road vehicle,"motorised road vehicles are divided into the following basic types: motorcycles, passenger cars, buses, lorries, special purpose vehicles, and powered wheelchairs",,:type,
engine data,motorised road vehicle,"the engine data for the road vehicle that include the type of engine specified by the manufacturer of the road vehicle, the engine power specified by the road vehicle manufacturer in kW/rpm in the case of an internal combustion engine or in kW in the case of other engines, the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3; and the fuel type of the road vehicle",engine,,:has engine
dimensions,motorised road vehicle,the overall dimensions of the road vehicle,,:dimensions,
weight,motorised road vehicle,"the maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle",,-:max technically permissible weight;:max permissible weight;:max permissible operating weight;:max technically permissible weight per axle;:max permissible weight per axle,
coupling device,motorised road vehicle,"the type of coupling device built into the motorised road vehicle, the maximum technically permissible mass of the trailer, the maximum permissible mass of the trailer, the maximum technically permissible mass of the combination and the maximum permissible mass of the combination",,-:coupling device;max permissible combination mass;max technically permissible combination mass;max permissible trailer mass;max permissible trailer mass,
technical inspection,motorised road vehicle,"data on technical inspections of the road vehicle which is the type of technical inspection carried out, the date on which the technical inspection was carried out, the date of validity of the technical inspection, the designation of the technical inspection station that carried out the technical inspection, and data on the condition of the road vehicle according to the result of the technical inspection",technical inspection,,:inspected by
vehicle identification number,motorised road vehicle,the vehicle identification number which is recorded in the register of road vehicles,,:vehicle identification number,
registration,motorised road vehicle,a registration plate and a registration certificate is issued for the road vehicle,-registraction certificate;registration plate,,-assigned to;issued for
category,motorised road vehicle,the category of road vehicle,,:vehicle category,
manufacturer,motorised road vehicle,the manufacturer's factory mark as specified by the road vehicle manufacturer,manufacturer,,:manufactures vehicle
trade name,motorised road vehicle,the trade name if specified by the road vehicle manufacturer,,:trade name,
model,motorised road vehicle,the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer,,:*,
name,natural person,"his name, or, where applicable, first and last names",,name,
address,natural person,"the address of his permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence",,-temporary residence address;long-term residence address;temporary residence address,
birth number,natural person,"his birth number, if any, and, where applicable, his date of birth",,birth number,
date of birth,natural person,"his birth number, if any, and, where applicable, his date of birth",,birth date,
business name,natural person,"If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement",,,
registered office address,natural person,"the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence, the address of the registered office",,,
personal identification number,natural person,"the personal identification number, if any",,,
business name,business natural person,"If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement, the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence, the address of the registered office and the personal identification number, if any.",,business name,
first name,business natural person,"If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement, the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence, the address of the registered office and the personal identification number, if any.",,:first name,
last name,business natural person,"If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement, the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence, the address of the registered office and the personal identification number, if any.",,:last name,
distinguishing supplement,business natural person,"If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement, the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence, the address of the registered office and the personal identification number, if any.",,distinguishing supplement,
address of permanent residence,business natural person,"If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement, the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence, the address of the registered office and the personal identification number, if any.",,:permanent residence address,
address of long-term residence,business natural person,"If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement, the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence, the address of the registered office and the personal identification number, if any.",,:long-term residence address,
address of temporary residence,business natural person,"If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement, the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence, the address of the registered office and the personal identification number, if any.",,:temporary residence address,
address of registered office,business natural person,"If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement, the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence, the address of the registered office and the personal identification number, if any.",,office address,
personal identification number,business natural person,"If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement, the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence, the address of the registered office and the personal identification number, if any.",,personal identification number,
business name,legal person,"If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",,business name,
address of the registered office,legal person,"If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",,office address,
location of the branch,legal person,"If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",,*,
personal identification number,legal person,"If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",,personal identification number,
registered office,legal person,"In the case of a legal person, the obligation to register the vehicle applies if it has its registered office in the country.",,office address,
branch plant,legal person,"If it is a foreign legal person, the obligation applies if it has a branch plant in the country.",legal person branch,,is branch of
business name,legal person branch,"If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",,,
address of the registered office,legal person branch,"If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",,,
location of the branch,legal person branch,"If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",,branch location,
personal identification number,legal person branch,"If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",,,
material,registration plate,A registration plate is a metal or plastic plate assigned to a road vehicle for official identification purposes.,,*,
registration identifier,registration plate,the numberic or alphanumeric registration identifier on the registration plate that uniquely identifies the road vehicle within the registration country,,registration identifier,
assignment date,registration plate,the date on which the registration plate was assigned,,registration plate assignment date,
issuance,registration certificate,a registration certificate is issued for the road vehicle,road vehicle,,issued for
registration date,registration certificate,the date of registration of the road vehicle,,registration date,
certificate number,registration certificate,the number of the certificate which identifies the certificate,,certificate number,
first registration date,registration certificate,the date of the first registration of the road vehicle,,first registration date,
last registration state,registration certificate,the state of the last registration of the road vehicle,,last registration state,
last registration certificate number,registration certificate,the number of the registration certificate of the road vehicle or similar document issued in the state of last registration,,last registration certificate number,
last registration plate identifier,registration certificate,"the identifier on the registration plate assigned to the road vehicle on the last registration, if the state of last registration is different",,last registration plate identifier,
insurance information,registration certificate,information on the insurance against liability for damage caused by the operation of the vehicle,,*,
purpose,registration certificate,the purpose for which the road vehicle is intended,,*,
category,registration certificate,the category of road vehicle,,*,
manufacturer's factory mark,registration certificate,the manufacturer's factory mark as specified by the road vehicle manufacturer,,*,
trade name,registration certificate,the trade name if specified by the road vehicle manufacturer,,*,
type,registration certificate,the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer,,*,
engine data,registration certificate,the engine data for the road vehicle,,*,
bodywork information,registration certificate,"type, serial number and colour of the bodywork of the road vehicle, number of seats and standing places or beds, dimensions of the loading area, volume of the box or tank",,*,
overall dimensions,registration certificate,the overall dimensions of the road vehicle,,*,
weight information,registration certificate,"the maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle",,*,
coupling device information,registration certificate,"the type of coupling device built into the motorised road vehicle, the maximum technically permissible mass of the trailer, the maximum permissible mass of the trailer, the maximum technically permissible mass of the combination and the maximum permissible mass of the combination",,*,
technical inspection data,registration certificate,data on technical inspections of the road vehicle,,*,
third party insurance,third party insurance,information on the insurance against liability for damage caused by the operation of the vehicle (hereinafter referred to as 'third party insurance') communicated by an insurance office,,,
green card,third party insurance,Green card means an international certificate proving that the road vehicle has been covered by a third party insurance against liability for damage caused by the operation of the road vehicle specified in the certificate as the insured vehicle.,green card,,is proof of insurance
insurer,third party insurance,The insurer is an insurance company authorised to operate the third party insurance in the contract.,insurer,,is authorised to operate
policyholder,third party insurance,The policyholder is the person who has concluded the insurance contract with the insurer.,policyholder,,concluded contract
insured road vehicle,third party insurance,"The insurance contract shall always contain the designation of the insurer, the policyholder, and the insured road vehicle.",road vehicle,,covered by insurance
duration of the insurance,third party insurance,"The insurance contract shall always contain the designation of the insurer, the policyholder, and the insured road vehicle.",,,
limit of the insurance benefit,third party insurance,"The insurance contract shall always contain the designation of the insurer, the policyholder, and the insured road vehicle.",,,
amount of the premium,third party insurance,"The insurance contract shall always contain the designation of the insurer, the policyholder, and the insured road vehicle.",,,
maturity,third party insurance,"The insurance contract shall always contain the designation of the insurer, the policyholder, and the insured road vehicle.",,,
method of payment,third party insurance,"The insurance contract shall always contain the designation of the insurer, the policyholder, and the insured road vehicle.",,,
form and place of notification of the claim,third party insurance,"The insurance contract shall always contain the designation of the insurer, the policyholder, and the insured road vehicle.",,,
type,engine,the type of engine specified by the manufacturer of the road vehicle,,engine type,
power,engine,the engine power specified by the road vehicle manufacturer in kW/rpm in the case of an internal combustion engine or in kW in the case of other engines,,engine power,
displacement,engine,the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3,,engine displacement,
fuel type,engine,the fuel type of the road vehicle,,fuel type,
type,bodywork,"type, serial number and colour of the bodywork of the road vehicle",,bodywork type,
serial number,bodywork,"type, serial number and colour of the bodywork of the road vehicle",,bodywork serial number,
colour,bodywork,"type, serial number and colour of the bodywork of the road vehicle",,bodywork color,
technical inspection,technical inspection,"a technical inspection of the road vehicle which is the type of technical inspection carried out, the date on which the technical inspection was carried out, the date of validity of the technical inspection, the designation of the technical inspection station that carried out the technical inspection, and data on the condition of the road vehicle according to the result of the technical inspection",,,
type,technical inspection,the type of technical inspection carried out,,technical inspection type,
date,technical inspection,the date on which the technical inspection was carried out,,technical inspection date,
validity date,technical inspection,the date of validity of the technical inspection,,technical inspection validity,
station,technical inspection,the designation of the technical inspection station that carried out the technical inspection,technical inspection station,,carried out by
condition,technical inspection,data on the condition of the road vehicle according to the result of the technical inspection,,*,
roadworthiness,technical inspection,"a road vehicle technical inspection is an inspection of its roadworthiness which includes the technical condition and functioning of a road vehicle, its systems, components and separate technical units and their environmental impact or a registration test of a road vehicle",,*,
technical condition,technical inspection,"the technical condition and functioning of a road vehicle, its systems, components and separate technical units and their environmental impact",,*,
registration test,technical inspection,a registration test of a road vehicle,,*,
emissions measurement,technical inspection,emissions measurement as part of the technical inspection,emission measurement,,is part of technical inspection
emission results,technical inspection,the results of the emission measurement,emission measurement result,,*
inspection date,technical inspection,the day on which the other checking operations were carried out in the framework of the periodic technical inspection at the technical inspection station,,technical inspection date,
defect record,technical inspection,the defect record,defect,,detects
inspection report,technical inspection,a technical inspection report on the technical inspection of the road vehicle,,,*
defect level,technical inspection,"3 levels of defects, which are a minor defect, a serious defect, and a dangerous defect",defect,,detects
minor defect,technical inspection,"a minor defect which does not significantly affect the operational characteristics of the vehicle, road safety or the environment",minor defect,,:detects
serious defect,technical inspection,"a serious defect which affects the operational characteristics of the vehicle, is liable to endanger road traffic, may adversely affect the environment or consists of a serious deficiency in the identification of the vehicle",serious defect,,:detects
dangerous defect,technical inspection,"a dangerous defect which poses an immediate threat to the safety of the road vehicle, to road traffic or to the environment",dangerous defect,,:detects
third party insurance,insurance contract,information on the insurance against liability for damage caused by the operation of the vehicle (hereinafter referred to as 'third party insurance') communicated by an insurance office,third party insurance,,based on contract
insurance details,insurance contract,"including the date of notification of data by the Insurers' Bureau, the date of commencement of insurance, the period of interruption of insurance, the date of change of insurance, and the date of termination of insurance",,,
insurance contract,insurance contract,A third party insurance is based on an insurance contract concluded between the policyholder and the insurer.,third party insurance,,based on contract
contract details,insurance contract,"The insurance contract shall always contain the designation of the insurer, the policyholder, and the insured road vehicle.",insurer,,-has insurer
policy terms,insurance contract,"It shall also contain the duration of the insurance, the limit of the insurance benefit, the amount of the premium, its maturity, the method of payment and the form and place of notification of the claim.",,-insurance duration;benefit limit;premium amount;maturity;payment method;notification,
station,emission measurement,Emissions measurement as part of the technical inspection can be carried out at the emission measurement station before other inspection tasks are carried out at the technical inspection station.,,,*
report,emission measurement,The emission measurement station shall draw up a report on the emission measurement which shall be handed over to the natural person who brought the vehicle to the emission measurement station.,vehicle deliverer,,emission measurement report handed over to
results,emission measurement,The inspection technician of the technical inspection station shall include the results of the emission measurement in the register of road vehicles.,emission measurement result,,has result of measurement
inspection date,inspection sticker,indicating the date of the periodic technical inspection,,-next inspection year;next inspection month,
repeated technical inspection date,inspection sticker,"If the road vehicle has been found to be seriously defective, the municipal authority of the municipality with extended jurisdiction shall mark on the sticker the date of the repeated technical inspection",,-next inspection year;next inspection month,
next periodic technical inspection date,inspection sticker,The technical inspection station shall affix an inspection sticker on the rear plate of the registration plate of the road vehicle indicating the month and year of the next periodic technical inspection of the road vehicle,,-next inspection year;next inspection month,
status,inspection sticker,"Upon detection of a dangerous defect, the technical inspection station shall remove the technical inspection sticker from the rear plate of the registration plate",,,
