Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
offers,faculty,faculty,subject,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective...,subject,,*
is taught in,subject,subject,"lecture, tutorial, seminar, proseminar, course, practical training, internship, special course, laboratory class, field trip, fieldwork, individual work, or consultation","A subject is taught in particular in the form of lecture, tutorial, seminar, proseminar, course, practical training, internship, special course, laboratory class, field trip, fieldwork, individual work, or consultation.",,form of teaching,
is part of,subject,subject,programme of study,A subject can be a part of the curricula of one or more programmes of study.,study programme,,taught within
is offered by,subject,subject,faculty,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective...,faculty,,*
is registered by,subject,subject,student,A student registers to the subjects that are compulsory and elective in the curriculum of the study program he or she is enrolled in.,student,,registers to subject
has assessment,subject,subject,assessment,The assessment of study of a subject registered in a given unit of study may not be carried out later than by the end of the examination period of the summer semester of the academic year in which the student studied in the given unit of study.,subject completion assessment,,assesses completion of
determines,curriculum,curriculum,form of study,The curriculum also determines the form of study.,form of study,,determines form of study
created,curriculum,curriculum,programme of study,"The curriculum is created within the framework of a programme of study in such a way that the largest part of instruction takes the form of lectures, tutorials, seminars, courses, practical training, laboratory classes, consultation, and other similar forms of instruction, which are held according to a regular schedule, which will be usually a weekly schedule; they enable students to acquire knowledge directly.",study programme,,has curriculum
determines,form of study,curriculum,form of study,The curriculum also determines the form of study. The forms of study may be: a. full-time study; b. combined study; or c. distance learning study.,curriculum,,determines form of study
belongs to,education field,study programme,education field,A study programme belongs to only one field of education if the state examinations or the dissertation defence verify profiling knowledge or skills in the basic subject areas belonging to one field of education.,study programme,,belongs to field
belongs to,education field,study programme,education field,"A study programme is a combined programme of study that belongs to more fields of education if the state examinations or, where appropriate, the dissertation defence test profiling knowledge or skills in the core subject areas belonging to more than one field of education.",study programme,,belongs to field
is part of,bachelor state final examination,bachelor state final examination,bachelor's degree study programme,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis.",bachelor study programme,,*
includes,bachelor state final examination,bachelor state final examination,defense of the bachelor's thesis,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis.",bachelor thesis defense,,includes bachelor thesis defense
is a,bachelor studies,bachelor studies,study programme,The Bachelor's degree study programme is aimed at preparing students for the profession and for study in a Master's degree programme.,,,
has,bachelor studies,bachelor studies,standard period of study,"The standard period of study, including work experience, is a minimum of three and a maximum of four years.",,,
is completed by,bachelor studies,bachelor studies,state final examination,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis.",bachelor state final examination,,completed by bachelor state final examination
awards,bachelor studies,bachelor studies,academic degree,"Graduates of bachelor's degree programmes are awarded the academic degree of 'Bachelor' (abbreviated as 'B.Sc.' before their name) and, in the field of arts, the academic degree of 'Bachelor of Arts' (abbreviated as 'B.A.' before their name).",,,
includes,bachelor thesis defense,state final examination,bachelor thesis defense,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis.",bachelor state final examination,,includes bachelor thesis defense
is a part of,master studies,master studies,study programme,"The Master's degree study programme is aimed at acquiring theoretical and practical knowledge based on the current state of scientific knowledge, research and development, at mastering their application and at developing skills for creative activity; in the field of art, it is focused on demanding artistic training and the development of talent.",,,:studies in master study programme
follows,master studies,master studies,bachelor studies,The Master's degree programme is a follow-up to the Bachelor's degree programme; the standard duration of this programme is at least one and not more than three years.,bachelor studies,,*
has guarantor,master studies,master studies,guarantor,"Only an associate professor, a full professor or an extraordinary professor who is an academic staff member of the college concerned may be the guarantor of a master's degree programme and a doctoral degree programme.",,,:has study programme guarantor
awards,master studies,master studies,academic degree,"The following academic degrees are awarded to graduates of master's degree programmes: (a) in the fields of economics, technical sciences and technology, agriculture, forestry and military science, 'engineer' (abbreviated 'Ing.' before the name), ...",,:awarded degree,
is completed by,master state final examination,master's degree study programme,master state final examination,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis.",master study programme,,*
includes,diploma thesis defense,state final examination,diploma thesis defense,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis.",master state final examination,,includes diploma thesis defense
has,individual study plan,student,individual study plan,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor.,student,,*
is part of,state doctoral examination,state doctoral examination,doctoral programme,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor. A supervisor is an academic staff who is a scientific expert in the field. The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation.,,,
completes,state doctoral examination,state doctoral examination,studies,The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation.,doctoral studies,,completed by state doctoral examination
is part of,dissertation defense,dissertation defense,studies,The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation.,doctoral studies,,completed by dissertation defense
demonstrates,dissertation defense,dissertation defense,ability,The dissertation must contain original and published results or results accepted for publication and it shall demonstrate the ability and readiness for independent research or development activities or independent theoretical and creative artistic activity.,,,
is defended in,dissertation,dissertation,state doctoral examination,The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation.,,,
contains,dissertation,dissertation,results,The dissertation must contain original and published results or results accepted for publication and it shall demonstrate the ability and readiness for independent research or development activities or independent theoretical and creative artistic activity.,,*,
leads to,dissertation,dissertation,academic degree,Graduates of doctoral programmes shall be awarded the academic degree of 'doctor' (abbreviated 'Ph.D.' after their name) after the public defense of the dissertation.,,*,
classified into,elective subjects group,elective subjects,elective subjects group,Elective subjects are classified into one or more groups of elective subjects in the curricula.,subject,,*
has assessment form,subject completion assessment,subject completion assessment,assessment form,The forms of this assessment are: colloquium; course credit; graded course credit; course test; examination; or f) a combination of the forms under letters (a) to (e).,-colloquium;course credit;graded course credit;course test;examination,,
is part of,subject completion assessment,subject completion assessment,study programme,The assessment of study of a subject registered in a given unit of study may not be carried out later than by the end of the examination period of the summer semester of the academic year in which the student studied in the given unit of study.,,,
is carried out by,subject completion assessment,subject completion assessment,examiner,"The assessment of study is carried out by an examiner, who is always an academic member of staff.",,,carried out by examiner
is a form of,colloquium,assessment of study,colloquium,The forms of this assessment are: a) colloquium; ...,colloquium,,*
represents,colloquium,colloquium,assessment of study,"The colloquium, course credit, or course test may represent an independent assessment of the subject, or may represent a prerequisite for taking an examination in the given subject.",subject completion assessment,,*
has result,colloquium,colloquium,result,"The results of colloquium, course credit, and course test are graded as 'pass'-'fail' or 'credited'-'not credited'.",,:results grade,
is a,course credit,assessment of study,course credit,The forms of this assessment are: ... graded course credit; ...,subject completion assessment,,*
has result,course credit,course credit,result,"The results of colloquium, course credit, and course test are graded as 'pass'-'fail' or 'credited'-'not credited'. ...",,:results grade,
is a form of,course test,course test,assessment of study,... course test; ...,subject completion assessment,,*
is one of,course test,course test,forms of assessment of study,... a) colloquium; b) course credit; c) graded course credit; d) course test; ...,subject completion assessment,,*
is part of,examination,examination,study programme,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis.",,,
is part of,examination,examination,study programme,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis.",,,
is part of,examination,examination,study programme,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor and shall be duly completed by a state doctoral examination and a public defense of the dissertation.,,,
tests,examination,examination,student,An examination tests the student’s knowledge or his ability; the basic requirements for the examination are in accordance with the curriculum provided in the description of the subject and published in electronic form.,,,:assesses completion by
has form,examination,examination,form,"The forms of examination are oral, written, practical, or combined.",,form of examination,
