Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
fields,field,"fields, indicating the location of agricultural operations",,,
age,field,the age of a farmer in years,,,
planting,field,planting represents the agricultural activity of planting crops in a specific field during a specific year,planting,,performed on
harvest,field,Each planting activity results in a harvest,harvest,,*
responsible farmer,field,The harvested crops are connected to the farmer responsible for the harvest,,,
field location,field,specific fields where it occurs,planting,,performed on
crops,field,particular crops,crop,,*
planting date,field,exact date or period of planting,,,
harvest location,field,specific fields where the harvest is collected,field,,*
harvest quantity,field,"total quantity of the harvest, measured in kilograms",,,
harvest quality,field,quality of the harvest,,,
irrigation systems,field,availability of irrigation systems,,irrigation availability,
irrigation type,field,type of irrigation used,,irrigation availability,
field geographical location,field,geographical location of the field,,location,
soil ph and type,field,soil's pH and type,,+soil ph;soil type,
field size,field,size of the field,,size,
field topography,field,topography of the field,,topography,
machinery,field,mechanical tools and equipment,,,
tractors,field,"tractors, as a subclass of machinery",,,
planters,field,planters,,,
harvesters,field,harvesters,,,
sprayers,field,sprayers,,,
manufacturing year and model,field,year of manufacturing and model of the machinery,,,
planting machinery,field,a specific piece of machinery is used for planting,,,
harvesting machinery,field,a piece of machinery is used for harvesting,,,
field preparation machinery,field,a piece of machinery is used to prepare the field for planting,machinery,,*
crops,field,"crops, including cereals, oil seeds, vegetables, and fruits",crop,,*
cultivated variety,field,cultivated variety of a crop,,,
vegetables,field,vegetables,,,
fruits,field,fruits,,,
seed plants,field,seed plants,,,
cereal,field,cereal,,,
name,planting,"an individual engaged in agriculture, growing and harvesting crops, and is identified uniquely by a name",,,
machinery,planting,"machinery, which reflects their capacity for mechanized farming",,,
planting activities,planting,"planting activities, crucial for management and accountability",,,
fields,planting,"fields, indicating the location of agricultural operations",field,,performed on
crops,planting,"crops, highlighting the variety of crops and their cultivation requirements during the planting process",crop,,involves crop
date or period of planting,planting,exact date or period of planting,,planting date,
harvest,planting,"harvest, representing the culmination of the agricultural cycle",harvest,,results in harvest
date or period of harvest,planting,specific date or period when the harvest is collected,,*,
quality of the harvest,planting,quality of the harvest,,*,
total quantity of the harvest,planting,"total quantity of the harvest, measured in kilograms",,*,
availability of irrigation systems,planting,availability of irrigation systems,,,
type of irrigation,planting,type of irrigation used,,,
geographical location of the field,planting,geographical location of the field,,,
soil's ph and type,planting,soil's pH and type,,,
size of the field,planting,size of the field,,,
topography of the field,planting,topography of the field,,,
mechanical tools and equipment,planting,mechanical tools and equipment,,,
year of manufacturing and model of the machinery,planting,year of manufacturing and model of the machinery,,,
piece of machinery used for planting,planting,specific piece of machinery is used for planting,machinery,,used for planting
piece of machinery used for harvesting,planting,piece of machinery used for harvesting,machinery,,*
piece of machinery used to prepare the field for planting,planting,piece of machinery used to prepare the field for planting,machinery,,used for field preparation
cultivated variety of a crop,planting,cultivated variety of a crop,,*,
vegetables,planting,vegetables including plants cultivated for their parts consumable by humans or other animals as food,vegetable,,:involves crop
fruits,planting,fruits cultivated for their seed-associated fleshy structures that typically are sweet or sour and edible in the raw state,fruit,,:involves crop
seed plants,planting,"seed plants, grown for oil production from seeds",seed plant,,:involves crop
cereal,planting,cereal as a plant cultivated for its edible grain,cereal,,:involves crop
