Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
form of study,subject completion assessment,"The 'form of study' can be full-time, distance learning, or combined",,,
programmes of study,subject completion assessment,The 'subject' is a part of the curriculum of one or more 'programmes of study',,,
prerequisites or exclusions,subject completion assessment,it may have 'prerequisites' or 'exclusions',,,
assessment of study,subject completion assessment,The 'assessment of study' of a 'subject' is carried out by an 'examiner' who is an 'academic member of staff',,,
forms of assessment of study,subject completion assessment,The 'assessment of study' has different 'forms' such as 'colloquium',colloquium,,*
forms of assessment of study,subject completion assessment,"'course credit', 'graded course credit', 'course test', 'examination', or a 'combination' of these",-course credit;course test;examination,,*
results of assessment of study,subject completion assessment,The 'results' of the 'assessment of study' are 'graded' as 'pass/fail',,results grade,
results of assessment of study,subject completion assessment,"'credited/not credited', or 'excellent/very good/good/fail'",,results grade,
results of assessment of study,subject completion assessment,The 'results' of the 'assessment of study' must be 'published' by the 'examiner' within a specific 'time limit',,results grade,
academic community,examination,academic community made up of its academic staff and students enrolled in its study programmes,,,
type,examination,a legal person,,,
divided into,examination,A public college is divided into faculties,,,
implements,examination,implements at least one accredited study programme,,,
carries out,examination,carries out creative activities,,,
implements,examination,implements accredited study programmes and lifelong learning programmes,,,
determined by,examination,The type of higher education activity is determined by the type of accredited study programmes implemented,,,
types of study programmes,examination,"types of study programmes are bachelor, master and doctoral",,,
type,examination,A college is either a university or a non-university,,,
may carry out,examination,A university college (or shortly a university) may carry out all types of study programmes,,,
may carry out,examination,A non-university college may carry out bachelor's degree programmes,,,
shall not be divided into,examination,A non-university college shall not be divided into faculties,,,
type,examination,"The college is public, private or state-owned",,,
type,examination,A state-owned college is a military or police college,,,
participate in,examination,Other legal persons engaged in the educational and creative activities may also participate in such activities of a college,,,
academic staff,examination,"a full professors, associate professors, extraordinary professors, assistant professors, assistant lecturers, lecturers",,,
staff,examination,"scientific, research and development staff who are employees of the college",,,
carrying out,examination,carrying out both teaching and creative activities in an employment relationship,,,
obliged to,examination,obliged to uphold the reputation of the college,,,
participate in,examination,Other professionals may also participate in teaching at the college,,,
basis,examination,on the basis of agreements on work performed outside the employment relationship,,,
is,examination,A student is a natural person who is enrolled in a study program,,,
are members of,examination,The academic staff and students are members of the academic community,,,
shall be,examination,The self-governing academic bodies of a public college shall be,,,
type,examination,"a) the academic senate,",,,
type,examination,"b) the rector,",,,
type,examination,"c) the scientific council,",,,
type,examination,"d) the internal evaluation board, if established, and",,,
type,examination,e) the disciplinary committee.,,,
are,examination,The other bodies of a public college are the board of trustees and the bursar.,,,
member,examination,It is a member of the academic community of the public college,,,
acts and decides on,examination,"The rector acts and decides on the affairs of the college, unless otherwise provided by law",,,
has,examination,The scientific council of a public college has its own members,,,
prominent representatives of,examination,prominent representatives of the fields in which the college carries out educational and creative activities,,,
shall be,examination,At least one third of the members shall be persons other than members of the academic community of the college,,,
is,examination,The rector is the head of the public college,,,
acts and decides on,examination,"The rector acts and decides on the affairs of the college, unless otherwise provided by law",,,
term of office,examination,The term of office of the rector shall be four years,,,
may be held,examination,The office of rector may be held by the same person at the same public college for a maximum of two consecutive terms,,,
has,examination,The scientific council of a public college has its own members,,,
is,examination,The rector is a member of the scientific council of the public college and is also the chairperson of the scientific council,,,
are,examination,The other members of the scientific council of the public college are prominent representatives of the fields in which the college carries out educational and creative activities,,,
shall be,examination,At least one third of the members shall be persons other than members of the academic community of the college,,,
is,examination,The rector is the chairperson of the internal evaluation board,,,
shall be appointed,examination,The vice-chairperson of the board shall be appointed by the rector from among the academic staff of the public college who are professors or associate professors of the college,,,
shall be,examination,The chairperson of the academic senate of a public college shall be a member of the internal evaluation board,,,
shall be appointed,examination,"The other members of the board shall be appointed by the rector, one third of whom shall be appointed on the proposal of the academic board and one third on the proposal of the academic senate, of whom one member shall always be appointed from among the students of the public college concerned",,,
shall be,examination,Half of the members of the disciplinary board of a public college shall be students,,,
shall elect,examination,The disciplinary board of a public college shall elect its chairperson from among its members,,,
term of office,examination,The term of office of the members of the disciplinary board of a public college shall not exceed two years,,,
shall have,examination,"The board of trustees of a public college shall have at least nine members, the number of which must always be divisible by three",,,
shall be appointed,examination,The members of the board of trustees of a public college shall be appointed by the minister in consultation with the rector,,,
may not be,examination,Members of the board may not be employees of the college,,,
manages,examination,The bursar manages the management and internal administration of the public higher education institution,,,
represents,examination,The bursar represents it to the extent determined by a measure of the rector,,,
must have,examination,The study programme must have a standard period of study,,,
shall also be specified,examination,The degree awarded to graduates shall also be specified for the study programme,,,
shall be taught,examination,Subject of study shall be taught within the study programme,,,
is determined,examination,Their sequence in time within the study programme is determined by the curriculum of the study programme,,,
determines,examination,The curriculum also determines the form of study,,,
may be,examination,The forms of study may be: a. full-time study; b. combined study; or c. distance learning study,,,
is created,examination,"For the full-time form of study, the curriculum is created within the framework of a programme of study",,,
takes,examination,"The largest part of instruction takes the form of lectures, tutorials, seminars, courses, practical training, laboratory classes, consultation, and other similar forms of instruction",,,
is created,examination,"For the combined form of study, the curriculum is created within the programme of study",,,
is created,examination,"For the distance learning form of study, the curriculum is created within the framework of the programme of study",,,
may only be,examination,The guarantor may only be an academic staff who meets the conditions laid down in the standards for accreditation,,,
shall coordinate,examination,"The degree programme guarantor shall, in particular, coordinate the content of the degree programme",,,
supervise,examination,Supervise the quality of its implementation,,,
evaluate and develop,examination,Evaluate the degree programme and develop it,,,
belongs to,examination,A study programme belongs to only one field of education,,,
is,examination,A study programme is a combined programme of study that belongs to more fields of education,,,
is,examination,A field of education is a defined section of higher education,,,
"are prepared, approved and implemented",examination,"Study programmes of close or related content are prepared, approved and implemented",,,
reflecting,examination,Reflecting a common theoretical and methodological basis of the given field of education,,,
is aimed at,examination,The Bachelor's degree study programme is aimed at preparing students for the profession,,,
is,examination,"The standard period of study, including work experience, is a minimum of three and a maximum of four years",,,
is duly completed,examination,The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination,,,
are awarded,examination,Graduates of bachelor's degree programmes are awarded the academic degree of 'Bachelor',,,
is aimed at,examination,The Master's degree study programme is aimed at acquiring theoretical and practical knowledge,,,
is,examination,The standard duration of this programme is at least one and not more than three years,,,
are duly completed,examination,The studies of a student in the Master's degree study programme are duly completed by a state final examination,,,
are awarded,examination,The following academic degrees are awarded to graduates of master's degree programmes,,,
focuses on,examination,The doctoral study programme focuses on scientific research,,,
shall be monitored and evaluated,examination,Studies in a doctoral programme shall be monitored and evaluated by a subject board,,,
shall be completed,examination,The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation,,,
must contain,examination,The dissertation must contain original and published results,,,
shall demonstrate,examination,It shall demonstrate the ability and readiness for independent research,,,
shall be awarded,examination,Graduates of doctoral programmes shall be awarded the academic degree of 'doctor',,,
has,examination,Each subject has an identification code which is unique within the college,,,
is determined,examination,"A subject is determined by the identification code, the number of semesters of instruction",,,
is determined by,examination,"The number of assigned credits, the form of teaching, and the form of assessment of study",,,
can be a part of,examination,A subject can be a part of the curricula of one or more programmes of study,,,
must not be,examination,"In that case, it must not be assigned different numbers of credits",,,
stipulate,examination,"Curricula, with the exception of doctoral study, stipulate which subjects are compulsory or elective for students",,,
are regarded,examination,Other subjects taught at the college are regarded as optional subjects for the relevant curriculum,,,
are classified,examination,Elective subjects are classified into one or more groups of elective subjects in the curricula,,,
may state,examination,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective,,,
has as a prerequisite,examination,The registration for a given subject has as a prerequisite the completion of another subject or subjects,,,
has as a prerequisite,examination,The completion of a given subject has as a prerequisite the completion of another subject or subjects,,,
may state,examination,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective,,,
has as a prerequisite,examination,The registration for a given subject has as a prerequisite the completion of another subject or subjects,,,
has as a prerequisite,examination,The completion of a given subject has as a prerequisite the completion of another subject or subjects,,,
may state,examination,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective,,,
has as a prerequisite,examination,The registration for a given subject has as a prerequisite the completion of another subject or subjects,,,
has as a prerequisite,examination,The completion of a given subject has as a prerequisite the completion of another subject or subjects,,,
may state,examination,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective,,,
has as a prerequisite,examination,The registration for a given subject has as a prerequisite the completion of another subject or subjects,,,
has as a prerequisite,examination,The completion of a given subject has as a prerequisite the completion of another subject or subjects,,,
may state,examination,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective,,,
has as a prerequisite,examination,The registration for a given subject has as a prerequisite the completion of another subject or subjects,,,
has as a prerequisite,examination,The completion of a given subject has as a prerequisite the completion of another subject or subjects,,,
may state,examination,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective,,,
has as a prerequisite,examination,The registration for a given subject has as a prerequisite the completion of another subject or subjects,,,
has as a prerequisite,examination,The completion of a given subject has as a prerequisite the completion of another subject or subjects,,,
may state,examination,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective,,,
has as a prerequisite,examination,The registration for a given subject has as a prerequisite the completion of another subject or subjects,,,
has as a prerequisite,examination,The completion of a given subject has as a prerequisite the completion of another subject or subjects,,,
may state,examination,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective,,,
has as a prerequisite,examination,The registration for a given subject has as a prerequisite the completion of another subject or subjects,,,
has as a prerequisite,examination,The completion of a given subject has as a prerequisite the completion of another subject or subjects,,,
may state,examination,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective,,,
has as a prerequisite,examination,The registration for a given subject has as a prerequisite the completion of another subject or subjects,,,
has as a prerequisite,examination,The completion of a given subject has as a prerequisite the completion of another subject or subjects,,,
may state,examination,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective,,,
has as a prerequisite,examination,The registration for a given subject has as a prerequisite the completion of another subject or subjects,,,
has as a prerequisite,examination,The completion of a given subject has as a prerequisite the completion of another subject or subjects,,,
may state,examination,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective,,,
has as a prerequisite,examination,The registration for a given subject has as a prerequisite the completion of another subject or subjects,,,
has as a prerequisite,examination,The completion of a given subject has as a prerequisite the completion of another subject or subjects,,,
may state,examination,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective,,,
