Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
manufactures,manufacturer,manufacturer,vehicle,"A manufacturer is a person who manufactures a vehicle, its system, component or separate technical unit or has it designed or manufactured and markets it under his own name or trademark or uses it for his own account.",vehicle,,manufactures vehicle
is a,manufacturer,manufacturer,vehicle,"A manufacturer is a person who manufactures a vehicle, its system, component or separate technical unit or has it designed or manufactured and markets it under his own name or trademark or uses it for his own account.",,,
is a,manufacturer,manufacturer,motorised vehicle,A motorised vehicle is a vehicle with an engine.,,,
is a,manufacturer,manufacturer,non-motorised vehicle,A non-motorised vehicle is a vehicle without an engine.,,,
divides into,manufacturer,manufacturer,road vehicle,"Road vehicles and special vehicles are divided into categories L, M, N, O, T, C, R, S and Z.",,,
divides into,manufacturer,manufacturer,motorized road vehicle,"Motorized road vehicles are divided into the following basic types: motorcycles, passenger cars, buses, lorries, special purpose vehicles, and powered wheelchairs if their width or length exceeds 1.4 m, their design speed exceeds 15 km.h-1 or their maximum permissible weight exceeds 450 kg, and other road vehicles.",,,
divides into,manufacturer,manufacturer,special vehicle,"Special vehicles are divided into the following basic types: agricultural or forestry tractors and their trailers, self-propelled work machines, work machines carried, work machines attached, interchangeable towed equipment, vehicles designed primarily for driving on snow, vehicles designed primarily for off-road driving, single-axle tractors and their trailers, special tractors and their trailers, carriers of working adaptors and other special vehicles.",,,
is a,manufacturer,manufacturer,trailer,A trailer is a non-motorised road vehicle intended to be towed by another vehicle to which it is coupled in a combination.,,,
is a,manufacturer,manufacturer,vehicle system,A vehicle system means any structural system of a vehicle which is subject to the technical requirements laid down in an implementing regulation.,,,
is a,manufacturer,manufacturer,vehicle system,An example of a vehicle system is brakes or emission reduction devices.,,,
is a,manufacturer,manufacturer,structural component of a vehicle,A structural component of a vehicle is a component of the vehicle which must be type-approved independently of the vehicle if so provided for in the implementing legislation and which is subject to the technical requirements laid down in the implementing legislation.,,,
is an,manufacturer,manufacturer,structural component of a vehicle,An example of a structural component of a vehicle is a lamp.,,,
is a,manufacturer,manufacturer,separate technical unit of a vehicle,"A separate technical unit of a vehicle is a component, the type of which may be approved independently of the vehicle but only in relation to one or more vehicle types, if so provided for in the implementing legislation, and which is subject to the technical requirements laid down in the implementing legislation.",,,
is an,manufacturer,manufacturer,separate technical unit of a vehicle,"An independent technical unit of a vehicle is, for example, the rear bumper of a vehicle, or a fixed or swap body of a vehicle.",,,
has,person,road vehicle,person,"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations. The following information on the owner and operator, if different from the owner, of a road vehicle shall be entered in the register of road vehicles.",person,,-has owner;has operator
is,person,person,natural person,"If the person is a natural person, his name, or, where applicable, first and last names, the address of his permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence and his birth number, if any, and, where applicable, his date of birth shall be entered.",natural person,,*
is,person,person,legal person,"If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",legal person,,*
is a part of,legal person branch,legal person branch,legal person,"A legal person branch is a part of a legal person, which is a manufacturer or an incomplete vehicle manufacturer.",legal person,,is branch of
assigned,registration plate,register of road vehicles,registration plate,"A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles. After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",,,
assigned,registration plate,register of road vehicles,registration plate,"A registration plate is a metal or plastic plate assigned to a road vehicle for official identification purposes. For the registration plate, the register of road vehicles contains: - the numeric or alphanumeric registration identifier on the registration plate that uniquely identifies the road vehicle within the registration country, - the date on which the registration plate was assigned.",,,
assigns,registration plate,municipal authority of the municipality with extended competence,registration plate,"The municipal authority of the municipality with extended competence, when registering a road vehicle in the register of road vehicles, shall further assign a registration plate to the road vehicle.",municipal authority,,assigns plate
assigned,registration plate,register of road vehicles,registration plate,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",,,
assigned,registration plate,register of road vehicles,registration plate,A registration plate is a metal or plastic plate assigned to a road vehicle for official identification purposes.,,,
assigns,registration plate,municipal authority of the municipality with extended competence,registration plate,"The municipal authority of the municipality with extended competence, when registering a road vehicle in the register of road vehicles, shall further assign a registration plate to the road vehicle.",municipal authority,,assigns plate
identified by,registration certificate,registration certificate,road vehicle,A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles.,,,
assigned,registration certificate,registration certificate,road vehicle,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",registration certificate,,issued for
has,engine,vehicle,engine,A motorised vehicle is a vehicle with an engine.,engine,,has engine
has,municipal authority,municipal authority,owner and operator of a road vehicle,"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations. The following information on the owner and operator, if different from the owner, of a road vehicle shall be entered in the register of road vehicles...",,,
registers,municipal authority,municipal authority,road vehicle,The municipal authority of a municipality with extended competence registers a road vehicle in the register of road vehicles on the basis of a written application by the owner of the road vehicle...,road vehicle,,registers
issues,municipal authority,municipal authority,registration certificate of the road vehicle,"When registering a road vehicle in the register of road vehicles, the municipal authority of the municipality with extended competence shall issue a registration certificate of the road vehicle to the applicant...",registration certificate,,issues certificate
affixes,municipal authority,municipal authority,sticker to the plate,"The municipal authority of the municipality with extended jurisdiction shall affix a sticker to the plate issued, indicating the date of the periodic technical inspection...",inspection sticker,,*
affixes,municipal authority,municipal authority,sticker to the registration plate,"If the road vehicle has been found to be dangerously defective, the municipal authority of the municipality with extended jurisdiction shall not affix the sticker to the registration plate...",inspection sticker,,*
provides proof of,green card,green card,third party insurance,Green card means an international certificate proving that the road vehicle has been covered by a third party insurance against liability for damage caused by the operation of the road vehicle specified in the certificate as the insured vehicle.,third party insurance,,is proof of insurance
has,insurance contract,insurance contract,road vehicle,"A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles. After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",road vehicle,,*
assigned,insurer,insurer,road vehicle,A road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.,road vehicle,,*
must undergo,insurer,insurer,incomplete vehicle,An incomplete vehicle is any vehicle that must undergo at least one further stage of completion in order to meet the relevant technical requirements.,,,
registers,insurer,insurer,road vehicle,The municipal authority of a municipality with extended competence registers a road vehicle in the register of road vehicles on the basis of a written application by the owner of the road vehicle.,,,
issues,insurer,insurer,registration certificate,"When registering a road vehicle in the register of road vehicles, the municipal authority of the municipality with extended competence shall issue a registration certificate of the road vehicle to the applicant.",,,
assigns,insurer,insurer,road vehicle,"The municipal authority of the municipality with extended competence, when registering a road vehicle in the register of road vehicles, shall further assign a registration plate to the road vehicle.",,,
affixes,insurer,insurer,sticker,"The municipal authority of the municipality with extended jurisdiction shall affix a sticker to the plate issued, indicating the date of the periodic technical inspection.",,,
affixes,insurer,insurer,registration plate,"If the road vehicle has been found to be dangerously defective, the municipal authority of the municipality with extended jurisdiction shall not affix the sticker to the registration plate.",,,
has insurance contract with,policyholder,policyholder,third party insurance,"A third party insurance is based on an insurance contract concluded between the policyholder and the insurer. The insurer is an insurance company authorised to operate the third party insurance in the contract. The policyholder is the person who has concluded the insurance contract with the insurer. The insurance contract shall always contain the designation of the insurer, the policyholder, and the insured road vehicle. It shall also contain the duration of the insurance, the limit of the insurance benefit, the amount of the premium, its maturity, the method of payment and the form and place of notification of the claim.",third party insurance,,concluded contract
is not taken into account if,emission measurement,emission measurement,more than 30 days have elapsed,"If more than 30 days have elapsed between the date on which the emission measurement was carried out and the date on which the road vehicle was brought in for the other checking operations, the emission measurement carried out shall not be taken into account.",,,
has emission measurement result,emission measurement result,road vehicle,emission measurement result,Emissions measurement as part of the technical inspection can be carried out at the emission measurement station before other inspection tasks are carried out at the technical inspection station. The emission measurement station shall draw up a report on the emission measurement which shall be handed over to the natural person who brought the vehicle to the emission measurement station. The inspection technician of the technical inspection station shall include the results of the emission measurement in the register of road vehicles.,road vehicle,,*
is a component of,separate technical unit,separate technical unit,vehicle,"A separate technical unit of a vehicle is a component, the type of which may be approved independently of the vehicle but only in relation to one or more vehicle types, if so provided for in the implementing legislation, and which is subject to the technical requirements laid down in the implementing legislation. An independent technical unit of a vehicle is, for example, the rear bumper of a vehicle, or a fixed or swap body of a vehicle.",separate technical unit,,has separate technical unit
is identified by,odometer,odometer,vehicle identification number,A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles.,,,
has owner,missing or stolen road vehicle listing,missing or stolen road vehicle listing,person,"A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles. After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.

A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations. The following information on the owner and operator, if different from the owner, of a road vehicle shall be entered in the register of road vehicles.
- If the person is a natural person, his name, or, where applicable, first and last names, the address of his permanent residence, long-term residence, temporary residence of at least 6 months or other authorized residence and his birth number, if any, and, where applicable, his date of birth shall be entered.",,,
has operator,missing or stolen road vehicle listing,missing or stolen road vehicle listing,person,"A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles. After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.

A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations. The following information on the owner and operator, if different from the owner, of a road vehicle shall be entered in the register of road vehicles.
- If the person is a natural person, his name, or, where applicable, first and last names, the address of his permanent residence, long-term residence, temporary residence of at least 6 months or other authorized residence and his birth number, if any, and, where applicable, his date of birth shall be entered.",,,
assigned registration plate,missing or stolen road vehicle listing,missing or stolen road vehicle listing,registration plate,"A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles. After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",,,
issued registration certificate,missing or stolen road vehicle listing,missing or stolen road vehicle listing,registration certificate,"A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles. After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",,,
registered in the register of road vehicles,missing or stolen road vehicle listing,missing or stolen road vehicle listing,road vehicle register,"A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles. After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",,,
incomplete,missing or stolen road vehicle listing,missing or stolen road vehicle listing,incomplete vehicle,"An incomplete vehicle is any vehicle that must undergo at least one further stage of completion in order to meet the relevant technical requirements.

The municipal authority of a municipality with extended competence registers a road vehicle in the register of road vehicles on the basis of a written application by the owner of the road vehicle. The municipal authority checks that: - the road vehicle's roadworthiness has been approved, - the obligation to take out third-party liability insurance in respect of such a vehicle is fulfilled, - value added tax has been paid on the acquisition of the road vehicle from another member state, if a special legal provision so provides, - the road vehicle is not listed as missing or stolen in the Schengen Information System or in the information system of the state police or this information is not established by another procedure, - it is not an incomplete road vehicle",,,
registered by the municipal authority,missing or stolen road vehicle listing,missing or stolen road vehicle listing,municipal authority,"The municipal authority of a municipality with extended competence registers a road vehicle in the register of road vehicles on the basis of a written application by the owner of the road vehicle. The municipal authority checks that: - the road vehicle's roadworthiness has been approved, - the obligation to take out third-party liability insurance in respect of such a vehicle is fulfilled, - value added tax has been paid on the acquisition of the road vehicle from another member state, if a special legal provision so provides, - the road vehicle is not listed as missing or stolen in the Schengen Information System or in the information system of the state police or this information is not established by another procedure, - it is not an incomplete road vehicle",,,
has registration certificate,missing or stolen road vehicle listing,missing or stolen road vehicle listing,registration certificate,"When registering a road vehicle in the register of road vehicles, the municipal authority of the municipality with extended competence shall issue a registration certificate of the road vehicle to the applicant.",,,
assigned registration plate by the municipal authority,missing or stolen road vehicle listing,missing or stolen road vehicle listing,registration plate,"The municipal authority of the municipality with extended competence, when registering a road vehicle in the register of road vehicles, shall further assign a registration plate to the road vehicle.",,,
has third party insurance,missing or stolen road vehicle listing,missing or stolen road vehicle listing,third party insurance,"The municipal authority checks that: - the obligation to take out third-party liability insurance in respect of such a vehicle is fulfilled,",,,
has roadworthiness approval,missing or stolen road vehicle listing,missing or stolen road vehicle listing,roadworthiness approval,"The municipal authority checks that: - the road vehicle's roadworthiness has been approved,",,,
brought in for technical inspection,missing or stolen road vehicle listing,missing or stolen road vehicle listing,technical inspection,The operator of a road vehicle which has not been registered in another state prior to its registration in the register of road vehicles shall bring the road vehicle in for a technical inspection within 4 years from the date of registration of the vehicle in the register of road vehicles and periodically thereafter within 2 years from the date of the previous technical inspection.,,,
emission measurement,missing or stolen road vehicle listing,missing or stolen road vehicle listing,emission measurement,Emissions measurement as part of the technical inspection can be carried out at the emission measurement station before other inspection tasks are carried out at the technical inspection station. The emission measurement station shall draw up a report on the emission measurement which shall be handed over to the natural person who brought the vehicle to the emission measurement station.,,,
technical inspection report,missing or stolen road vehicle listing,missing or stolen road vehicle listing,technical inspection report,"During a technical inspection, the technical inspection station shall determine whether the technical condition and operation of the road vehicle, its systems, structural components and separate technical units are free from defects or have defects by comparing the actual technical condition of the road vehicle with the conditions laid down for the technical condition of the vehicle.

On the basis of the defect record, the technical inspection station shall draw up a technical inspection report on the technical inspection of the road vehicle and hand it over to the natural person who delivered the vehicle for the technical inspection.",,,
has technical inspection sticker,missing or stolen road vehicle listing,missing or stolen road vehicle listing,technical inspection sticker,The technical inspection station shall affix an inspection sticker on the rear plate of the registration plate of the road vehicle indicating the month and year of the next periodic technical inspection of the road vehicle.,,,
has technical inspection,missing or stolen road vehicle listing,missing or stolen road vehicle listing,technical inspection,The operator of a road vehicle which has not been registered in another state prior to its registration in the register of road vehicles shall bring the road vehicle in for a technical inspection within 4 years from the date of registration of the vehicle in the register of road vehicles and periodically thereafter within 2 years from the date of the previous technical inspection.,,,
