Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
technically fit for use only for 30 days from the date of the technical inspection,road vehicle,"If a technical inspection detects a serious defect, the vehicle is technically fit for use only for 30 days from the date of the technical inspection. Within this period, the operator of the road vehicle shall be obliged to bring the road vehicle with the rectified serious defect to the technical inspection station for a repeat technical inspection. If the operator of the road vehicle does not proceed in this way, or if the repeated technical inspection reveals that the defect to be rectified has been recurrently rectified, the vehicle is technically unfit for use and may not be used in traffic. The operator shall be obliged to ensure that the vehicle is towed away from the technical inspection station at his own expense",limited technically fit vehicle,,*
technically unfit for use and must not be used in traffic,road vehicle,"If the technical inspection of a road vehicle reveals a dangerous defect, the vehicle is technically unfit for use and must not be used in traffic. The operator is obliged to ensure that the vehicle is towed at his own expense from the technical inspection station, that the dangerous defect is removed, and that the road vehicle is brought in for a repeat technical inspection. Upon detection of a dangerous defect, the technical inspection station shall remove the technical inspection sticker from the rear plate of the registration plate",technically unfit road vehicle,,*
type,vehicle,"A vehicle is a machine, usually with wheels, used for transporting people, animals or goods, on land.",,,
owner,natural person,owner,,,*
operator,natural person,operator,,,*
name,natural person,"his name, or, where applicable, first and last names",,name,
address of permanent residence,natural person,address of his permanent residence,,permanent residence address,
address of long-term residence,natural person,long-term residence,,long-term residence address,
address of temporary residence of at least 6 months,natural person,temporary residence of at least 6 months,,temporary residence address,
birth number,natural person,birth number,,birth number,
date of birth,natural person,his date of birth,,birth date,
business name,natural person,business name,,:business name,
address of the registered office,natural person,address of the registered office,,:office address,
business name or name,natural person,business name or name,,+:business name;name,
address of the registered office or the location of the branch,natural person,address of the registered office or the location of the branch,,,
vehicle identification number,natural person,vehicle identification number,,,
registration plate,natural person,registration plate,,,
registration identifier,natural person,registration identifier,,,
date of registration of the road vehicle,natural person,date of registration of the road vehicle,,,
number of the certificate which identifies the certificate,natural person,number of the certificate which identifies the certificate,,,
date of the first registration of the road vehicle,natural person,date of the first registration of the road vehicle,,,
state of the last registration of the road vehicle,natural person,state of the last registration of the road vehicle,,,
number of the registration certificate of the road vehicle or similar document issued in the state of last registration,natural person,number of the registration certificate of the road vehicle or similar document issued in the state of last registration,,,
identifier on the registration plate assigned to the road vehicle on the last registration,natural person,identifier on the registration plate assigned to the road vehicle on the last registration,,,
information on the insurance against liability for damage caused by the operation of the vehicle,natural person,information on the insurance against liability for damage caused by the operation of the vehicle,,,
date of notification of data by the insurers' bureau,natural person,date of notification of data by the Insurers' Bureau,,,
date of commencement of insurance,natural person,date of commencement of insurance,,,
period of interruption of insurance,natural person,period of interruption of insurance,,,
date of change of insurance,natural person,date of change of insurance,,,
date of termination of insurance,natural person,date of termination of insurance,,,
purpose for which the road vehicle is intended,natural person,purpose for which the road vehicle is intended,,,
category of road vehicle,natural person,category of road vehicle,,,
manufacturer's factory mark as specified by the road vehicle manufacturer,natural person,manufacturer's factory mark as specified by the road vehicle manufacturer,,,
trade name if specified by the road vehicle manufacturer,natural person,trade name if specified by the road vehicle manufacturer,,,
type as specified by the road vehicle manufacturer,natural person,type as specified by the road vehicle manufacturer,,,
variant and version if specified by the road vehicle manufacturer,natural person,variant and version if specified by the road vehicle manufacturer,,,
owner,business natural person,owner,,,:has owner
operator,business natural person,operator,,,:has operator
owner,legal person,A road vehicle has an owner,,,:has owner
name,legal person,"his name, or, where applicable, first and last names",,:name,
address,legal person,"his address of his permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence",,,
business name,legal person,"then the business name or first and last names, if any",,business name,
business name,legal person,then the business name or name,,business name,
first and last names,legal person,"first and last names, if any",,,
registered office,legal person,the address of the registered office,,office address,
vehicle identification number,legal person,A road vehicle is uniquely identified by its vehicle identification number,,,
registration plate,legal person,"After the registration into the register, a road vehicle is assigned a registration plate",,,
date of registration,legal person,"For the registration certificate, it is stated in the register: the date of registration of the road vehicle",,,
number of the certificate,legal person,"For the registration certificate, it is stated in the register: the number of the certificate which identifies the certificate",,,
date of the first registration,legal person,"For the registration certificate, it is stated in the register: the date of the first registration of the road vehicle which can be a registration in the same or another country",,,
state of the last registration,legal person,"For the registration certificate, it is stated in the register: the state of the last registration of the road vehicle",,,
number of the registration certificate,legal person,"For the registration certificate, it is stated in the register: the number of the registration certificate of the road vehicle or similar document issued in the state of last registration",,,
identifier on the registration plate,legal person,"For the registration certificate, it is stated in the register: the identifier on the registration plate assigned to the road vehicle on the last registration, if the state of last registration is different",,,
third party insurance,legal person,Information on the insurance against liability for damage caused by the operation of the vehicle (hereinafter referred to as 'third party insurance') communicated by an insurance office,,,
purpose,legal person,"the purpose for which the road vehicle is intended, which is a taxi service vehicle, a vehicle with right of way, a car rental vehicle for hire, a vehicle for general use, or a vehicle for the operation of road transport for hire by its operator",,,
category,legal person,the category of road vehicle,,,
manufacturer's factory mark,legal person,the manufacturer's factory mark as specified by the road vehicle manufacturer,,,
trade name,legal person,the trade name if specified by the road vehicle manufacturer,,,
type,legal person,the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer,,,
engine data,legal person,"the engine data for the road vehicle that include the type of engine specified by the manufacturer of the road vehicle, the engine power specified by the road vehicle manufacturer in kW/rpm in the case of an internal combustion engine or in kW in the case of other engines, the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3; and the fuel type of the road vehicle",,,
type of bodywork,legal person,"type, serial number and colour of the bodywork of the road vehicle",,,
overall dimensions,legal person,the overall dimensions of the road vehicle,,,
maximum technically permissible weight,legal person,"the maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle",,,
type of coupling device,legal person,"the type of coupling device built into the motorised road vehicle, the maximum technically permissible mass of the trailer, the maximum permissible mass of the trailer, the maximum technically permissible mass of the combination and the maximum permissible mass of the combination",,,
type of technical inspection,legal person,"data on technical inspections of the road vehicle which is the type of technical inspection carried out, the date on which the technical inspection was carried out, the date of validity of the technical inspection, the designation of the technical inspection station that carried out the technical inspection, and data on the condition of the road vehicle according to the result of the technical inspection",,,
owner and operator information,legal person branch,"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations. The following information on the owner and operator, if different from the owner, of a road vehicle shall be entered in the register of road vehicles.
- If the person is a natural person, his name, or, where applicable, first and last names, the address of his permanent residence, long-term residence, temporary residence of at least 6 months or other authorized residence and his birth number, if any, and, where applicable, his date of birth shall be entered.
- If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement, the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorized residence, the address of the registered office and the personal identification number, if any.
- If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",,,
registration application,legal person branch,The municipal authority of a municipality with extended competence registers a road vehicle in the register of road vehicles on the basis of a written application by the owner of the road vehicle.,,,
registration application details,legal person branch,"An application for the registration of a road vehicle in the register of road vehicles shall include - the type and category of the road vehicle, the road vehicle's manufacturer's factory mark, its trade name, the type of road vehicle, and the purpose for which the road vehicle is intended, - details of the owner of the road vehicle - details of the operator of the road vehicle if the owner is not also the operator of the road vehicle.",,,
registration certificate,legal person branch,"When registering a road vehicle in the register of road vehicles, the municipal authority of the municipality with extended competence shall issue a registration certificate of the road vehicle to the applicant.",,,
registration plate,legal person branch,"The municipal authority of the municipality with extended competence, when registering a road vehicle in the register of road vehicles, shall further assign a registration plate to the road vehicle.",,,
vehicle identification number,legal person branch,A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles.,,,
registration plate and certificate,legal person branch,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",,,
registration plate details,legal person branch,"A registration plate is a metal or plastic plate assigned to a road vehicle for official identification purposes. For the registration plate, the register of road vehicles contains: - the numeric or alphanumeric registration identifier on the registration plate that uniquely identifies the road vehicle within the registration country, - the date on which the registration plate was assigned.",,,
registration certificate,legal person branch,A registration certificate is an official document providing proof of registration of a vehicle in the register.,,,
registration certificate details,legal person branch,"For the registration certificate, it is stated in the register: - the date of registration of the road vehicle - the number of the certificate which identifies the certificate, - the date of the first registration of the road vehicle which can be a registration in the same or another country, - the state of the last registration of the road vehicle, - the number of the registration certificate of the road vehicle or similar document issued in the state of last registration, - the identifier on the registration plate assigned to the road vehicle on the last registration, if the state of last registration is different, - information on the insurance against liability for damage caused by the operation of the vehicle (hereinafter referred to as 'third party insurance') communicated by an insurance office, including the date of notification of data by the Insurers' Bureau, the date of commencement of insurance, the period of interruption of insurance, the date of change of insurance, and the date of termination of insurance - the purpose for which the road vehicle is intended, which is a taxi service vehicle, a vehicle with right of way, a car rental vehicle for hire, a vehicle for general use, or a vehicle for the operation of road transport for hire by its operator, - the category of road vehicle, - the manufacturer's factory mark as specified by the road vehicle manufacturer, - the trade name if specified by the road vehicle manufacturer, - the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer.",,,
vehicle identification number,registration plate,A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles,,,
owner and operator information,registration certificate,"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations. The following information on the owner and operator, if different from the owner, of a road vehicle shall be entered in the register of road vehicles.
- If the person is a natural person, his name, or, where applicable, first and last names, the address of his permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence and his birth number, if any, and, where applicable, his date of birth shall be entered.
- If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement, the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence, the address of the registered office and the personal identification number, if any.
- If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",,,*
registration identifier,registration certificate,"The register of road vehicles contains the numberic or alphanumeric registration identifier on the registration plate that uniquely identifies the road vehicle within the registration country,",,,
date of registration,registration certificate,"For the registration certificate, it is stated in the register:
- the date of registration of the road vehicle",,registration date,
number of the certificate,registration certificate,"For the registration certificate, it is stated in the register: the number of the certificate which identifies the certificate,",,certificate number,
date of the first registration,registration certificate,"For the registration certificate, it is stated in the register: the date of the first registration of the road vehicle which can be a registration in the same or another country,",,first registration date,
state of the last registration,registration certificate,"For the registration certificate, it is stated in the register: the state of the last registration of the road vehicle,",,last registration state,
number of the registration certificate,registration certificate,"For the registration certificate, it is stated in the register: the number of the registration certificate of the road vehicle or similar document issued in the state of last registration,",,last registration certificate number,
identifier on the registration plate,registration certificate,"For the registration certificate, it is stated in the register: the identifier on the registration plate assigned to the road vehicle on the last registration, if the state of last registration is different,",,last registration plate identifier,
information on the third party insurance,registration certificate,"For the registration certificate, it is stated in the register: information on the insurance against liability for damage caused by the operation of the vehicle (hereinafter referred to as 'third party insurance') communicated by an insurance office, including the date of notification of data by the Insurers' Bureau, the date of commencement of insurance, the period of interruption of insurance, the date of change of insurance, and the date of termination of insurance",,,*
purpose for which the road vehicle is intended,registration certificate,"For the registration certificate, it is stated in the register: the purpose for which the road vehicle is intended, which is a taxi service vehicle, a vehicle with right of way, a car rental vehicle for hire, a vehicle for general use, or a vehicle for the operation of road transport for hire by its operator,",,*,
category of road vehicle,registration certificate,"For the registration certificate, it is stated in the register: the category of road vehicle,",,*,
manufacturer's factory mark,registration certificate,"For the registration certificate, it is stated in the register: the manufacturer's factory mark as specified by the road vehicle manufacturer,",,*,
trade name,registration certificate,"For the registration certificate, it is stated in the register: the trade name if specified by the road vehicle manufacturer,",,*,
"type, variant, and version",registration certificate,"For the registration certificate, it is stated in the register: the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer.",,*,
engine data,registration certificate,"For the registration certificate, it is stated in the register: the engine data for the road vehicle that include the type of engine specified by the manufacturer of the road vehicle, the engine power specified by the road vehicle manufacturer in kW/rpm in the case of an internal combustion engine or in kW in the case of other engines, the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3; and the fuel type of the road vehicle",,*,
bodywork information,registration certificate,"For the registration certificate, it is stated in the register: type, serial number and colour of the bodywork of the road vehicle, number of seats and standing places or beds, dimensions of the loading area, volume of the box or tank,",,*,
overall dimensions,registration certificate,"For the registration certificate, it is stated in the register: the overall dimensions of the road vehicle,",,*,
maximum technically permissible weight,registration certificate,"For the registration certificate, it is stated in the register: the maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle,",,*,
type of coupling device,registration certificate,"For the registration certificate, it is stated in the register: the type of coupling device built into the motorised road vehicle, the maximum technically permissible mass of the trailer, the maximum permissible mass of the trailer, the maximum technically permissible mass of the combination and the maximum permissible mass of the combination,",,*,
data on technical inspections,registration certificate,"For the registration certificate, it is stated in the register: data on technical inspections of the road vehicle which is the type of technical inspection carried out, the date on which the technical inspection was carried out, the date of validity of the technical inspection, the designation of the technical inspection station that carried out the technical inspection, and data on the condition of the road vehicle according to the result of the technical inspection,",,*,
owner and operator information,third party insurance,"A road vehicle has an owner and operator, both being persons, i.e. human or non-human entities recognized as having privileges and obligations. The following information on the owner and operator, if different from the owner, of a road vehicle shall be entered in the register of road vehicles.
- If the person is a natural person, his name, or, where applicable, first and last names, the address of his permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence and his birth number, if any, and, where applicable, his date of birth shall be entered.
- If the person is a natural person engaged in business, then the business name or first and last names, if any, and, where appropriate, a distinguishing supplement, the address of permanent residence, long-term residence, temporary residence of at least 6 months or other authorised residence, the address of the registered office and the personal identification number, if any.
- If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",,,
vehicle identification number,third party insurance,A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles.,,,
registration plate and registration certificate,third party insurance,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",,,
registration plate,third party insurance,"A registration plate is a metal or plastic plate assigned to a road vehicle for official identification purposes. For the registration plate, the register of road vehicles contains: - the numeric or alphanumeric registration identifier on the registration plate that uniquely identifies the road vehicle within the registration country, - the date on which the registration plate was assigned.",,,
registration certificate,third party insurance,A registration certificate is an official document providing proof of registration of a vehicle in the register.,,,
third party insurance information,third party insurance,"Information on the insurance against liability for damage caused by the operation of the vehicle (hereinafter referred to as 'third party insurance') communicated by an insurance office, including the date of notification of data by the Insurers' Bureau, the date of commencement of insurance, the period of interruption of insurance, the date of change of insurance, and the date of termination of insurance",,*,
engine,engine,A motorised vehicle is a vehicle with an engine,,,
engine power,engine,the engine power specified by the road vehicle manufacturer in kW/rpm in the case of an internal combustion engine or in kW in the case of other engines,,engine power,
displacement,engine,the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3,,engine displacement,
fuel type,engine,the fuel type of the road vehicle,,fuel type,
vehicle identification number,bodywork,A road vehicle is uniquely identified by its vehicle identification number which is recorded in the register of road vehicles.,,,
registration plate,bodywork,"after the registration into the register, a road vehicle is assigned a registration plate",,,
registration certificate,bodywork,a registration certificate is issued for the road vehicle,,,
registration identifier,bodywork,the numberic or alphanumeric registration identifier on the registration plate that uniquely identifies the road vehicle within the registration country,,,
date of registration,bodywork,"For the registration certificate, it is stated in the register: the date of registration of the road vehicle",,,
number of the certificate,bodywork,the number of the certificate which identifies the certificate,,,
date of the first registration,bodywork,the date of the first registration of the road vehicle which can be a registration in the same or another country,,,
state of the last registration,bodywork,the state of the last registration of the road vehicle,,,
number of the registration certificate,bodywork,the number of the registration certificate of the road vehicle or similar document issued in the state of last registration,,,
third party insurance,bodywork,"information on the insurance against liability for damage caused by the operation of the vehicle (hereinafter referred to as 'third party insurance') communicated by an insurance office, including the date of notification of data by the Insurers' Bureau, the date of commencement of insurance, the period of interruption of insurance, the date of change of insurance, and the date of termination of insurance",,,
purpose for which the road vehicle is intended,bodywork,"the purpose for which the road vehicle is intended, which is a taxi service vehicle, a vehicle with right of way, a car rental vehicle for hire, a vehicle for general use, or a vehicle for the operation of road transport for hire by its operator",,,
category of road vehicle,bodywork,the category of road vehicle,,,
manufacturer's factory mark,bodywork,the manufacturer's factory mark as specified by the road vehicle manufacturer,,,
trade name,bodywork,the trade name if specified by the road vehicle manufacturer,,,
"type, variant and version",bodywork,the type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer,,,
engine data,bodywork,"engine data for the road vehicle that include the type of engine specified by the manufacturer of the road vehicle, the engine power specified by the road vehicle manufacturer in kW/rpm in the case of an internal combustion engine or in kW in the case of other engines, the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3; and the fuel type of the road vehicle",,,
"type, serial number and colour of the bodywork",bodywork,"type, serial number and colour of the bodywork of the road vehicle, number of seats and standing places or beds, dimensions of the loading area, volume of the box or tank",,+bodywork type;bodywork serial number;bodywork color;number of seats;loading dimensions;volume,
overall dimensions,bodywork,the overall dimensions of the road vehicle,,dimensions,
maximum technically permissible weight,bodywork,"the maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle",,,
type of coupling device,bodywork,"the type of coupling device built into the motorised road vehicle, the maximum technically permissible mass of the trailer, the maximum permissible mass of the trailer, the maximum technically permissible mass of the combination and the maximum permissible mass of the combination",,,
data on technical inspections,bodywork,"data on technical inspections of the road vehicle which is the type of technical inspection carried out, the date on which the technical inspection was carried out, the date of validity of the technical inspection, the designation of the technical inspection station that carried out the technical inspection, and data on the condition of the road vehicle according to the result of the technical inspection",,,
owner,technical inspection,A road vehicle has an owner,,,
owner,insurance contract,A road vehicle has an owner,,,
name,insurance contract,"his name, or, where applicable, first and last names",,,
business name,insurance contract,"the business name or first and last names, if any",,,
business name or name,insurance contract,the business name or name,,,
vehicle identification number,insurance contract,A road vehicle is uniquely identified by its vehicle identification number,,,
registration plate,insurance contract,"After the registration into the register, a road vehicle is assigned a registration plate",,,
date of registration,insurance contract,"For the registration certificate, it is stated in the register: the date of registration of the road vehicle",,,
number of the certificate,insurance contract,"For the registration certificate, it is stated in the register: the number of the certificate which identifies the certificate",,,
date of the first registration,insurance contract,"For the registration certificate, it is stated in the register: the date of the first registration of the road vehicle which can be a registration in the same or another country",,,
state of the last registration,insurance contract,"For the registration certificate, it is stated in the register: the state of the last registration of the road vehicle",,,
number of the registration certificate,insurance contract,"For the registration certificate, it is stated in the register: the number of the registration certificate of the road vehicle or similar document issued in the state of last registration",,,
identifier on the registration plate,insurance contract,"For the registration certificate, it is stated in the register: the identifier on the registration plate assigned to the road vehicle on the last registration, if the state of last registration is different",,,
insurance information,insurance contract,"Information on the insurance against liability for damage caused by the operation of the vehicle (hereinafter referred to as 'third party insurance') communicated by an insurance office, including the date of notification of data by the Insurers' Bureau, the date of commencement of insurance, the period of interruption of insurance, the date of change of insurance, and the date of termination of insurance",,,
purpose,insurance contract,"The purpose for which the road vehicle is intended, which is a taxi service vehicle, a vehicle with right of way, a car rental vehicle for hire, a vehicle for general use, or a vehicle for the operation of road transport for hire by its operator",,,
category,insurance contract,The category of road vehicle,,,
manufacturer's factory mark,insurance contract,The manufacturer's factory mark as specified by the road vehicle manufacturer,,,
trade name,insurance contract,The trade name if specified by the road vehicle manufacturer,,,
type,insurance contract,The type as specified by the road vehicle manufacturer and the variant and version if specified by the road vehicle manufacturer,,,
engine data,insurance contract,"The engine data for the road vehicle that include the type of engine specified by the manufacturer of the road vehicle, the engine power specified by the road vehicle manufacturer in kW/rpm in the case of an internal combustion engine or in kW in the case of other engines, the displacement of the internal combustion engine as specified by the manufacturer of the road vehicle in cm3; and the fuel type of the road vehicle",,,
bodywork data,insurance contract,"Type, serial number and colour of the bodywork of the road vehicle, number of seats and standing places or beds, dimensions of the loading area, volume of the box or tank",,,
overall dimensions,insurance contract,The overall dimensions of the road vehicle,,,
weight data,insurance contract,"The maximum technically permissible weight, the maximum permissible weight and the maximum permissible operating weight of the motorised road vehicle and its maximum technically permissible weight per axle and the maximum permissible weight per axle",,,
coupling device data,insurance contract,"The type of coupling device built into the motorised road vehicle, the maximum technically permissible mass of the trailer, the maximum permissible mass of the trailer, the maximum technically permissible mass of the combination and the maximum permissible mass of the combination",,,
technical inspection data,insurance contract,"Data on technical inspections of the road vehicle which is the type of technical inspection carried out, the date on which the technical inspection was carried out, the date of validity of the technical inspection, the designation of the technical inspection station that carried out the technical inspection, and data on the condition of the road vehicle according to the result of the technical inspection",,,
owner,inspection sticker,A road vehicle has an owner,,,
name,inspection sticker,"his name, or, where applicable, first and last names",,,
business name,inspection sticker,"the business name or first and last names, if any",,,
business name or name,inspection sticker,the business name or name,,,
vehicle identification number,inspection sticker,A road vehicle is uniquely identified by its vehicle identification number,,,
registration plate,inspection sticker,"After the registration into the register, a road vehicle is assigned a registration plate",,,
date of registration,inspection sticker,"For the registration certificate, it is stated in the register: the date of registration of the road vehicle",,,
number of the certificate,inspection sticker,"For the registration certificate, it is stated in the register: the number of the certificate which identifies the certificate",,,
date of the first registration,inspection sticker,"For the registration certificate, it is stated in the register: the date of the first registration of the road vehicle which can be a registration in the same or another country",,,
state of the last registration,inspection sticker,"For the registration certificate, it is stated in the register: the state of the last registration of the road vehicle",,,
number of the registration certificate,inspection sticker,"For the registration certificate, it is stated in the register: the number of the registration certificate of the road vehicle or similar document issued in the state of last registration",,,
identifier on the registration plate,inspection sticker,"For the registration certificate, it is stated in the register: the identifier on the registration plate assigned to the road vehicle on the last registration, if the state of last registration is different",,,
third party insurance,inspection sticker,"Information on the insurance against liability for damage caused by the operation of the vehicle (hereinafter referred to as 'third party insurance') communicated by an insurance office, including the date of notification of data by the Insurers' Bureau, the date of commencement of insurance, the period of interruption of insurance, the date of change of insurance, and the date of termination of insurance",,,
