Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
climate conditions,climate conditions,enclosures,climate conditions,"Enclosures are specialized habitats designed to mimic the natural environments of the resident species. They are critical for the ethical display and conservation of animals. A zoological garden provides various enclosures where its animals live and are ethicaly displayed and conserved.. Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",enclosure,,has climate conditions
climate conditions,climate conditions,enclosures,climate conditions,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation. These conditions are essential for mimicking the natural habitat of animals as closely as possible, which not only ensures their physical health but also supports their psychological well-being by encouraging natural behaviors and physiological functions. Temperature is perhaps the most critical element in an enclosure's climate conditions. Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health. Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas. Humidity levels are vital, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort. Ensuring that light cycles (day and night) are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors. Many species, particularly reptiles, require exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism. The absence of adequate UV lighting can lead to health problems like metabolic bone disease. Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.",enclosure,,has climate conditions
includes,staff member,zoological garden,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",staff member,,has member
responsible for,veterinarian,veterinarian,species,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",species,,responsible for
part of,veterinarian,veterinarian,reintroduction conservation programs,Specific animals may be part of reintroduction conservation programs.,,,
assigned to,caretaker,caretaker,enclosure,Caretakers are assigned to particular enclosures they are responsible for.,enclosure,,assigned as caretaker
responsible for,caretaker,caretaker,enclosure,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,assigned as caretaker
cover,caretaker,caretaker,non-stop care,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,,,
participates in,conservation program,zoological garden,conservation program,"Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation with ex-situ strategies also focus on specific countries or geographic regions. These programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",zoological garden,,participates in
part of,conservation program,conservation program,animal,Specific animals may be part of reintroduction conservation programs.,animal,,:is part of program
part of,reintroduction conservation program,animal,reintroduction conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,is part of program
