Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
designed to,machinery,machinery,efficiently harvest crops,"These machines are designed to efficiently harvest crops without causing damage, ensuring that the maximum quantity of produce is collected with the highest possible quality.",,,
integral to,machinery,machinery,modern farming practices,Each of these types of machinery is integral to modern farming practices.,,,
enhance,machinery,machinery,productivity,They not only enhance productivity but also improve the overall efficiency of agricultural operations.,,,
owns,machinery,farmer,machinery,"To reduce manual work, the farmer owns machinery.",farmer,,*
harvests,harvest,farmer,harvest,"An individual who engages in the activity of agriculture, growing and harvesting crops.",farmer,,harvested by
performed on,field,planting activity,field,"Each planting activity is performed on a particular field, indicating the location of agricultural operations and facilitating field-specific crop management.",planting,,performed on
grown on,field,crop,field,Fields serve as the primary physical space where crops are grown.,crop,,*
planning distribution,field,field,crop,"Key characteristics of fields include their size, typically expressed in hectares, which is fundamental for planning the distribution of crops, determining the amount of seeds needed, and calculating the expected yield.",,,
determining amount,field,field,crop,"Key characteristics of fields include their size, typically expressed in hectares, which is fundamental for planning the distribution of crops, determining the amount of seeds needed, and calculating the expected yield.",,,
calculating expected yield,field,field,crop,"Key characteristics of fields include their size, typically expressed in hectares, which is fundamental for planning the distribution of crops, determining the amount of seeds needed, and calculating the expected yield.",,,
affects,field,field,crop,"The soil type present in the field, such as loamy, sandy, clay, or silt, affects water retention, nutrient availability, and the types of crops that can be successfully cultivated.",,,
managing,field,field,soil,"The soil pH, indicating the acidity or alkalinity of the soil, is crucial for managing soil health and fertility.",,-soil ph;soil type,
located,field,field,location,"The location of the field is also described, which can include specific GPS coordinates or a general description.",,location,
influences,field,field,agricultural machinery,"The physical layout of the land, including its flatness, slope, and elevation, known as the topography, influences water drainage, erosion risk, and the suitability of various agricultural machinery.",,,*
have,field,field,irrigation system,"Additionally, fields may have irrigation systems, and the availability and type of irrigation used are vital for planning water usage and can impact crop selection and planting schedules based on the water needs of the crops.",,irrigation availability,
used for,field,irrigation system,field,"Additionally, fields may have irrigation systems, and the availability and type of irrigation used are vital for planning water usage and can impact crop selection and planting schedules based on the water needs of the crops.",,irrigation availability,
farms on,field,farmer,field,"A missing piece in the domain describtion is how a farmer is related to the field. Basically, a farmer farms on one or more fields to grow crop on it.",farmer,,farms on
planting process,planting,planting,crops,"Farmers are responsible for various activities on the farm, including the crucial processes of planting and harvesting. The planting process is described as the agricultural activity of planting crops in a specific field during a specific year. It captures the details of the planting process. This activity involves specific crops, and the association is key to understanding the crop variety and its cultivation requirements during the planting process.",crop,,involves crop
involves,planting,planting,crops,"This activity involves specific crops, and the association is key to understanding the crop variety and its cultivation requirements during the planting process.",crop,,involves crop
performed on,planting,planting,field,"Each planting activity is performed on a particular field, indicating the location of agricultural operations and facilitating field-specific crop management.",field,,performed on
used for,planting,machinery,planting,Machinery used for planting plays a pivotal role in the agricultural planting process. This category includes machinery like planters and some types of tractors that are specifically outfitted for or used during the planting of crops.,machinery,,used for planting
responsible for,planting,farmer,planting,"The farmer is primarily responsible for conducting planting, i.e. for a particular planting activity. This association helps attribute specific planting operations to individual farmers, crucial for management and accountability.",farmer,,conducts planting
