Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
follow-up,master studies,master studies,bachelor studies,The Master's degree study programme is a follow-up to the Bachelor's degree programme;,bachelor studies,,*
aimed at,master studies,master studies,theoretical and practical knowledge,"The Master's degree study programme is aimed at acquiring theoretical and practical knowledge based on the current state of scientific knowledge, research and development, at mastering their application and at developing skills for creative activity;",,,
aimed at,master studies,master studies,creative activity,The Master's degree study programme is aimed at developing skills for creative activity;,,,
focused on,master studies,master studies,artistic training,"in the field of art, it is focused on demanding artistic training and the development of talent.",,,
completed by,master studies,master studies,state final examination,"The studies of a student in the Master's degree study programme are duly completed by a state final examination,",master state final examination,,completed by master state final examination
completed by,master state final examination,master state final examination,master's degree study programme,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis.",master study programme,,*
includes,master state final examination,master state final examination,diploma thesis,includes the defence of the diploma thesis.,diploma thesis defense,,includes diploma thesis defense
carried out according to,individual study plan,studies,individual study plan,The studies of a student in the doctoral programme is carried out according to an individual study plan,doctoral studies,,carried out according to
under the guidance of,individual study plan,individual study plan,supervisor,under the guidance of a supervisor,supervisor,,*
guidance of,supervisor,supervisor,student,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor.,doctoral studies,,guided by
is,supervisor,supervisor,academic staff,A supervisor is an academic staff who is a scientific expert in the field.,academic staff,,*
is a,supervisor,supervisor,scientific expert,A supervisor is an academic staff who is a scientific expert in the field.,,,*
carries out,supervisor,supervisor,student study,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor.,doctoral studies,,guided by
focuses on,doctoral studies,doctoral studies,research,The doctoral study programme focuses on scientific research and independent creative activity in the field of research or development or on independent theoretical and creative activity in the field of art.,,*,
carries out,doctoral studies,doctoral studies,student,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor.,student,,doctoral studies of a student
individual study plan,doctoral studies,doctoral studies,study plan,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor.,individual study plan,,carried out according to
guidance,doctoral studies,doctoral studies,supervisor,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor.,supervisor,,guided by
completed by,doctoral studies,doctoral studies,state doctoral examination,The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation.,state doctoral examination,,completed by state doctoral examination
completed by,doctoral studies,doctoral studies,public defense,The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation.,dissertation defense,,completed by dissertation defense
must contain,doctoral studies,doctoral studies,dissertation,The dissertation must contain original and published results or results accepted for publication and it shall demonstrate the ability and readiness for independent research or development activities or independent theoretical and creative artistic activity.,dissertation,,*
monitored and evaluated by,doctoral studies,doctoral studies,subject board,Studies in a doctoral programme shall be monitored and evaluated by a subject board established in accordance with the internal regulations of the public college thereof which has accredited the relevant study programme.,subject board,,monitored by
completed by,state doctoral examination,studies,state doctoral examination,The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation.,doctoral studies,,completed by state doctoral examination
consists of,dissertation defense,studies,dissertation defense,The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation.,doctoral studies,,completed by dissertation defense
contains,dissertation defense,dissertation defense,result,The dissertation must contain original and published results or results accepted for publication and it shall demonstrate the ability and readiness for independent research or development activities or independent theoretical and creative artistic activity.,,,*
belongs to,dissertation,dissertation,field of education,"A study programme belongs to only one field of education if the state examinations or the dissertation defence verify profiling knowledge or skills in the basic subject areas belonging to one field of education. A study programme is a combined programme of study that belongs to more fields of education if the state examinations or, where appropriate, the dissertation defence test profiling knowledge or skills in the core subject areas belonging to more than one field of education.",,,
has form,colloquium,assessment,colloquium,The forms of this assessment are: a) colloquium;,subject completion assessment,,*
represents,colloquium,colloquium,assessment,"The colloquium, course credit, or course test may represent an independent assessment of the subject, or may represent a prerequisite for taking an examination in the given subject.",subject completion assessment,,*
has results graded as,colloquium,colloquium,grade,"The results of colloquium, course credit, and course test are graded as ""pass""-""fail"" or ""credited""-""not credited"".",,:results grade,
forms of,course credit,assessment,course credit,The forms of this assessment are: b) course credit;,subject completion assessment,,*
has form,course test,course test,assessment form,The forms of this assessment are: d) course test;,subject completion assessment,,*
represents,course test,course test,assessment,"The colloquium, course credit, or course test may represent an independent assessment of the subject, or may represent a prerequisite for taking an examination in the given subject.",subject completion assessment,,*
has results graded,course test,course test,assessment result,"The results of colloquium, course credit, and course test are graded as ""pass""-""fail"" or ""credited""-""not credited"".",,:results grade,
tests,examination,examination,student’s knowledge or his ability,An examination tests the student’s knowledge or his ability; the basic requirements for the examination are in accordance with the curriculum provided in the description of the subject and published in electronic form.,,*,
are,examination,forms of this assessment,examination,The forms of this assessment are: e) examination;,subject completion assessment,,*
tests,examination,examination,student’s knowledge or his ability,An examination tests the student’s knowledge or his ability; the basic requirements for the examination are in accordance with the curriculum provided in the description of the subject and published in electronic form.,,*,
