Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
is a branch of,legal person branch,legal person branch,legal person,"If it is a legal person or a branch thereof, then the business name or name, the address of the registered office or the location of the branch and the personal identification number, if any, shall be indicated.",legal person,,is branch of
assigns,registration plate,municipal authority,registration plate,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",municipal authority,,assigns plate
assigned to,registration plate,registration plate,road vehicle,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",road vehicle,,assigned to
contains,registration certificate,registration certificate,road vehicle,"It contains records of road vehicles, the owners and operators of these vehicles, lost, stolen, damaged and destroyed road vehicle registration certificates and registration plates.",road vehicle,,issued for
assigned,registration certificate,registration certificate,registration plate,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",registration plate,,*
issued for,registration certificate,registration certificate,road vehicle,"After the registration into the register, a road vehicle is assigned a registration plate and a registration certificate is issued for the road vehicle.",road vehicle,,issued for
stated for,registration certificate,registration certificate,date of registration,"For the registration certificate, it is stated in the register: the date of registration of the road vehicle",,registration date,
identified by,registration certificate,registration certificate,number of the certificate,"For the registration certificate, it is stated in the register: the number of the certificate which identifies the certificate,",,certificate number,
stated for,registration certificate,registration certificate,date of the first registration,"For the registration certificate, it is stated in the register: the date of the first registration of the road vehicle which can be a registration in the same or another country,",,first registration date,
stated for,registration certificate,registration certificate,state of the last registration,"For the registration certificate, it is stated in the register: the state of the last registration of the road vehicle,",,last registration state,
stated for,registration certificate,registration certificate,number of the registration certificate,"For the registration certificate, it is stated in the register: the number of the registration certificate of the road vehicle or similar document issued in the state of last registration,",,certificate number,
stated for,registration certificate,registration certificate,identifier on the registration plate,"For the registration certificate, it is stated in the register: the identifier on the registration plate assigned to the road vehicle on the last registration, if the state of last registration is different,",,last registration plate identifier,
issued by,registration certificate,registration certificate,municipal authority,"When registering a road vehicle in the register of road vehicles, the municipal authority of the municipality with extended competence shall issue a registration certificate of the road vehicle to the applicant.",municipal authority,,*
communicated by,third party insurance,insurance office,third party insurance,"information on the insurance against liability for damage caused by the operation of the vehicle (hereinafter referred to as 'third party insurance') communicated by an insurance office, including the date of notification of data by the Insurers' Bureau, the date of commencement of insurance, the period of interruption of insurance, the date of change of insurance, and the date of termination of insurance",,,*
take out,third party insurance,vehicle owner,third party insurance,obligation to take out third-party liability insurance in respect of such a vehicle is fulfilled,,,*
covered by,third party insurance,road vehicle,third party insurance,Green card means an international certificate proving that the road vehicle has been covered by a third party insurance against liability for damage caused by the operation of the road vehicle specified in the certificate as the insured vehicle.,road vehicle,,covered by insurance
based on,third party insurance,insurance contract,third party insurance,A third party insurance is based on an insurance contract concluded between the policyholder and the insurer.,insurance contract,,based on contract
authorized to operate,third party insurance,insurance company,third party insurance,The insurer is an insurance company authorized to operate the third party insurance in the contract.,insurer,,is authorised to operate
has,engine,vehicle,engine,A motorised vehicle is a vehicle with an engine.,vehicle,,:has engine
has,engine,vehicle,engine,A non-motorised vehicle is a vehicle without an engine.,vehicle,,:has engine
has,engine,vehicle,engine,"For the registration certificate, it is stated in the register: - the engine data for the road vehicle ...",vehicle,,:has engine
"type, serial number and colour",bodywork,bodywork,road vehicle,"type, serial number and colour of the bodywork of the road vehicle",road vehicle,,has bodywork
has,bodywork,road vehicle,bodywork,"type, serial number and colour of the bodywork of the road vehicle, number of seats and standing places or beds, dimensions of the loading area, volume of the box or tank",road vehicle,,has bodywork
carries out,technical inspection station,technical inspection station,road vehicle,A technical inspection station is a workplace specialised in carrying out technical inspections of road vehicles.,road vehicle,,*
carried out,technical inspection station,technical inspection station,technical inspection,"data on technical inspections of the road vehicle which is the type of technical inspection carried out, the date on which the technical inspection was carried out, the date of validity of the technical inspection, the designation of the technical inspection station that carried out the technical inspection, and data on the condition of the road vehicle according to the result of the technical inspection,",technical inspection,,carried out by
determines,technical inspection station,technical inspection station,technical condition and operation of the road vehicle,"During a technical inspection, the technical inspection station shall determine whether the technical condition and operation of the road vehicle, its systems, structural components and separate technical units are free from defects or have defects by comparing the actual technical condition of the road vehicle with the conditions laid down for the technical condition of the vehicle.",,,*
draw up,technical inspection station,technical inspection station,technical inspection report,"On the basis of the defect record, the technical inspection station shall draw up a technical inspection report on the technical inspection of the road vehicle and hand it over to the natural person who delivered the vehicle for the technical inspection.",,,technical inspection report handed over to
affix,technical inspection station,technical inspection station,inspection sticker,The technical inspection station shall affix an inspection sticker on the rear plate of the registration plate of the road vehicle indicating the month and year of the next periodic technical inspection of the road vehicle.,inspection sticker,,affixed by
remove,technical inspection station,technical inspection station,technical inspection sticker,"Upon detection of a dangerous defect, the technical inspection station shall remove the technical inspection sticker from the rear plate of the registration plate.",inspection sticker,,removed by
registers,municipal authority,municipal authority,road vehicle,The municipal authority of a municipality with extended competence registers a road vehicle in the register of road vehicles on the basis of a written application by the owner of the road vehicle.,road vehicle,,*
checks,municipal authority,municipal authority,road vehicle's roadworthiness,"The municipal authority checks that: - the road vehicle's roadworthiness has been approved,",,,*
checks,municipal authority,municipal authority,third-party liability insurance,"the municipal authority checks that: the obligation to take out third-party liability insurance in respect of such a vehicle is fulfilled,",third party insurance,,*
checks,municipal authority,municipal authority,valued added tax payment,"the municipal authority checks that: value added tax has been paid on the acquisition of the road vehicle from another member state, if a special legal provision so provides,",valued added tax payment,,*
checks,municipal authority,municipal authority,road vehicle's status in schengen information system,"the municipal authority checks that: the road vehicle is not listed as missing or stolen in the Schengen Information System or in the information system of the state police or this information is not established by another procedure,",missing or stolen road vehicle listing,,*
checks,municipal authority,municipal authority,road vehicle's completeness,the municipal authority checks that: it is not an incomplete road vehicle,,,*
issues,municipal authority,municipal authority,registration certificate,"When registering a road vehicle in the register of road vehicles, the municipal authority of the municipality with extended competence shall issue a registration certificate of the road vehicle to the applicant.",registration certificate,,issues certificate
assigns,municipal authority,municipal authority,registration plate,"The municipal authority of the municipality with extended competence, when registering a road vehicle in the register of road vehicles, shall further assign a registration plate to the road vehicle.",registration plate,,assigns plate
affixes,municipal authority,municipal authority,sticker,"When issuing a registration plate, the municipal authority of the municipality with extended jurisdiction shall affix a sticker to the plate issued, indicating the date of the periodic technical inspection.",inspection sticker,,*
marks,municipal authority,municipal authority,date on the sticker,"If the road vehicle has been found to be seriously defective, the municipal authority of the municipality with extended jurisdiction shall mark on the sticker the date of the repeated technical inspection, which shall be the last day of the month following the month of registration of the road vehicle in the register of road vehicles.",inspection sticker,,*
does not affix,municipal authority,municipal authority,sticker,"If the road vehicle has been found to be dangerously defective, the municipal authority of the municipality with extended jurisdiction shall not affix the sticker to the registration plate.",inspection sticker,,*
covers,green card,green card,road vehicle,Green card means an international certificate proving that the road vehicle has been covered by a third party insurance,road vehicle,,is proof for vehicle
specified as,green card,green card,road vehicle,the road vehicle specified in the certificate as the insured vehicle,road vehicle,,is proof for vehicle
liability for,green card,green card,damage,liability for damage caused by the operation of the road vehicle,,,is proof for vehicle
concluded between,insurance contract,insurance contract,policyholder and insurer,an insurance contract concluded between the policyholder and the insurer,+policyholder;insurer,,+has insurer;concluded contract
operated by,insurance contract,insurance contract,insurer,The insurer is an insurance company authorised to operate the third party insurance in the contract,insurer,,is authorised to operate
concluded with,insurance contract,insurance contract,policyholder,The policyholder is the person who has concluded the insurance contract with the insurer,policyholder,,concluded contract
contains,insurance contract,insurance contract,"insurer, policyholder, and insured road vehicle","The insurance contract shall always contain the designation of the insurer, the policyholder, and the insured road vehicle",+insurer;policyholder,,*
contains,insurance contract,insurance contract,"duration of the insurance, limit of the insurance benefit, amount of the premium, maturity, method of payment, form and place of notification of the claim","It shall also contain the duration of the insurance, the limit of the insurance benefit, the amount of the premium, its maturity, the method of payment and the form and place of notification of the claim",,-notification;payment method;maturity;premium amount;benefit limit;insurance duration,
operates,insurer,insurer,insurance,The insurer is an insurance company authorized to operate the third party insurance in the contract.,third party insurance,,is authorised to operate
contained in,insurer,insurance contract,insurer,The insurance contract shall always contain the designation of ... the insurer.,insurance contract,,has insurer
has concluded,policyholder,policyholder,insurance contract,The policyholder is the person who has concluded the insurance contract with the insurer.,insurance contract,,concluded contract
contained in,policyholder,policyholder,insurance contract,"The insurance contract shall always contain the designation of the insurer, the policyholder, and the insured road vehicle.",insurance contract,,concluded contract
includes,emission measurement result,inspection technician,emission measurement result,The inspection technician of the technical inspection station shall include the results of the emission measurement in the register of road vehicles.,inspection technician,,included by
includes,inspection technician,inspection technician,result of emission measurement,The inspection technician of the technical inspection station shall include the results of the emission measurement in the register of road vehicles.,emission measurement result,,included by
is part of,inspection technician,inspection technician,technical inspection station,The inspection technician of the technical inspection station,technical inspection station,,is technician of
is a component of,separate technical unit,separate technical unit,vehicle,A separate technical unit of a vehicle is a component,vehicle,,:has separate technical unit
is subject to,separate technical unit,separate technical unit,technical requirements,which is subject to the technical requirements laid down in the implementing legislation,,*,
has,defect,road vehicle,defect,"The technical inspection station shall determine whether the technical condition and operation of the road vehicle, its systems, structural components and separate technical units are free from defects or have defects by comparing the actual technical condition of the road vehicle with the conditions laid down for the technical condition of the vehicle.",defect,,has road vehicle defect
draw up a technical inspection report on,defect,technical inspection station,defect,"On the basis of the defect record, the technical inspection station shall draw up a technical inspection report on the technical inspection of the road vehicle and hand it over to the natural person who delivered the vehicle for the technical inspection.",defect,,*
has,technically fit road vehicle,technically fit road vehicle,defect,no defects or only minor defects have been found during the road vehicle technical inspection,defect,,:has road vehicle defect
