Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches relationship
crops,field,"This involves specific crops, with each planting activity associated with a particular crop and occurring on a specific field where the planting is performed.",crop,,*
planting date,field,The exact date or period when the crop was planted is critical for tracking crop growth stages and scheduling subsequent farming activities.,,*,
location,field,The knowledge of the field where the planting is performed on is important as an indication of the location of agricultural operations and facilitating field-specific crop management.,,location,
activities,field,"Three specific types of activities involve the use of machinery: field preparation, planting, and harvesting.",,,*
machinery,field,machinery used for field preparation,,,*
process,field,"This process might include plowing, tilling, and conditioning the soil to create an optimal planting environment.",,,
planting,planting,agricultural activity of planting crops in a specific field during a specific year,,,
crop,planting,specific crops,crop,,involves crop
field,planting,on a specific field where the planting is performed,field,,performed on
date or period,planting,exact date or period when the crop was planted,,planting date,
crop variety,planting,crop involved in planting,crop,,involves crop
field location,planting,knowledge of the field where the planting is performed on,,*,
machinery usage,planting,"specific types of activities involve the use of machinery: field preparation, planting, and harvesting",machinery,,-used for field preparation;used for planting
field preparation machinery,planting,"certain types of machinery, such as tractors equipped with specific attachments, are used to prepare the field for planting",machinery,,used for field preparation
planting machinery,planting,machinery like planters and some types of tractors that are specifically outfitted for or used during the planting of crops,machinery,,used for planting
