Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches relationship
link,harvest,"a harvest, establishing a critical link for tracing agricultural output back to its origins",,,
production,harvest,"the production obtained from crops, quantified and evaluated in terms of quantity and quality",,-quality;quantity,
connection,harvest,harvested crops are connected to the farmer responsible for the harvest,farmer,,harvested by
date,harvest,specific date or period when the harvest is collected,,harvest date,
quality,harvest,high-quality harvests are crucial for market acceptance and consumer satisfaction,,quality,
quantity,harvest,"total quantity of the harvest, measured in kilograms",,quantity,
machinery,harvest,"machinery encompasses mechanical tools and equipment crucial for tasks such as plowing, seeding, and harvesting",machinery,,used for harvesting
harvester,harvest,harvesters is a specialized machinery that is used for harvesting,harvester,,:used for harvesting
combined tasks,harvest,"machinery that combines tasks such as reaping, threshing, and winnowing, into a single operation",,,
harvesting machinery,harvest,piece of machinery can be used for harvesting,machinery,,used for harvesting
end-use,harvest,primarily utilized to collect and process crops at the end of their growing cycle,,,
location,field,"fields, where it occurs, indicating the location of agricultural operations and facilitating field-specific crop management",,location,
process details,field,capturing the details of the process,,,
year,field,specific field during a specific year,,,
crops,field,particular crops,crop,,*
planting date,field,exact date or period of planting,,,
land for crops,field,areas of land used for growing crops,,,
fence,field,surrounded by a fence,,*,
characteristics,field,several characteristics,,*,
irrigation systems,field,availability of irrigation systems,,irrigation availability,
irrigation type,field,type of irrigation used,,*,
geographical location,field,geographical location,,location,
gps coordinates,field,specific GPS coordinates,,location,
description,field,a general description,,location,
landmark,field,near a certain landmark,,*,
soil ph and type,field,pH and type of the soil,,+soil ph;soil type,
amendments,field,types of amendments needed,,*,
soil types,field,"loamy, sandy, clay, or silt",,soil type,
field area,field,total area of the field,,size,
layout,field,physical layout,,topography,
water drainage,field,water drainage,,*,
machinery suitability,field,machinery suitability,,*,
topography,field,"flatness, slope, and elevation",,topography,
machinery types,field,types of agricultural machinery,,*,
field preparation,field,"plowing, tilling, and conditioning",,,
machinery,planting,"machinery, which reflects their capacity for mechanized farming",machinery,,-used for planting;used for field preparation
planting activities,planting,"planting activities, crucial for management and accountability",,,
fields,planting,"fields, undertaking not only crop cultivation but also soil preparation",field,,performed on
specific field,planting,specific field during a specific year,field,,performed on
harvest,planting,"harvest, establishing a critical link for tracing agricultural output back to its origins",harvest,,results in harvest
location,planting,location of agricultural operations,field,,performed on
particular crops,planting,"particular crops, highlighting the variety of crops and their cultivation requirements",crop,,involves crop
exact date,planting,exact date or period of planting,,planting date,
irrigation systems,planting,availability of irrigation systems and the type of irrigation used,,*,
geographical location,planting,geographical location of the field,,*,
planters,planting,planters are specifically designed to plant seeds efficiently,planter,,*
machinery used for planting,planting,piece of machinery used for planting,machinery,,used for planting
machinery with attachments,planting,"machinery, such as tractors equipped with specific attachments",,,
crops,planting,crops are plants cultivated in large amounts for profit or subsistence,crop,,involves crop
cultivated variety,planting,cultivated variety of a crop,,*,
vegetables,planting,vegetables including plants cultivated for their parts consumable by humans or other animals as food,vegetable,,*
seed plants,planting,"seed plants, grown for oil production from seeds",seed plant,,*
cereal,planting,cereal as a plant cultivated for its edible grain,cereal,,*
