Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
includes,bachelor study programme,bachelor study programme,bachelor's thesis,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis.",,,*
is based on,master study programme,master study programme,scientific knowledge,"The Master's degree study programme is aimed at acquiring theoretical and practical knowledge based on the current state of scientific knowledge, research and development, at mastering their application and at developing skills for creative activity;",,*,
follows,master study programme,master study programme,bachelor study programme,The Master's degree programme is a follow-up to the Bachelor's degree programme;,bachelor study programme,,*
includes,master study programme,master study programme,state final examination,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis.",,,*
awards,master study programme,master study programme,academic degree,The following academic degrees are awarded to graduates of master's degree programmes:,,:awarded degree,
has,doctoral study programme,doctoral study programme,supervisor,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor.,supervisor,,*
is accredited by,doctoral study programme,doctoral study programme,public college,Studies in a doctoral programme shall be monitored and evaluated by a subject board established in accordance with the internal regulations of the public college thereof which has accredited the relevant study programme.,,,*
is a type of,doctoral study programme,doctoral study programme,study programme,"The types of study programmes are bachelor, master and doctoral.",study programme,,*
is part of,academic staff,academic staff,academic community,A college has its own academic community made up of its academic staff and students enrolled in its study programmes.,academic community,,is staff member of academic community
is member of,academic staff,academic staff,academic community,The academic staff and students are members of the academic community.,academic community,,is staff member of academic community
is member of,academic staff,academic staff,academic senate,The chairperson of the academic senate of a public college shall be one of its academic staff members.,academic senate,,has staff member
is appointed from,academic staff,vice-chairperson,academic staff,The vice-chairperson of the board shall be appointed by the rector from among the academic staff of the public college who are professors or associate professors of the college.,,,*
appoints,academic staff,faculty,academic staff,"For study programmes carried out by a faculty, the faculty appoints and dismisses a study programme guarantor from among its academic staff according to the rules laid down in the internal regulations of the college.",,,
is,academic staff,supervisor,academic staff,A supervisor is an academic staff who is a scientific expert in the field.,supervisor,,*
is,academic staff,examiner,academic staff,"The assessment of the study is carried out by an examiner, who is always an academic member of staff.",,,carried out by examiner
is,employee,employee,college,...who are employees of the college...,college,,employed at
is,employee,employee,college,Members of the board may not be employees of the college.,college,,employed at
participates in,other professional,other professional,public college,"...or other persons or bodies carrying out, supporting or benefiting from the educational or creative activities of public colleges or their results...",college,,:participates in teaching
is part of,other professional,other professional,professional chamber,"...of representatives of public life, professional chambers, employers' organisations or other professionals...",,*,
part of,body,body,college,A college is structured into its bodies.,college,,structured into
is part of,academic senate,academic senate,public college,The academic senate of a public college is its self-governing representative academic body.,,,:structured into
has members,academic senate,academic senate,academic community,The members of the academic senate of a public college shall be elected from among the members of the academic community of the public college.,academic community,,*
has chairperson,academic senate,academic senate,internal evaluation board,The chairperson of the academic senate of a public college shall be a member of the internal evaluation board.,internal evaluation board,,*
proposes,academic senate,academic senate,internal evaluation board,"one third on the proposal of the academic senate, of whom one member shall always be appointed from among the students of the public college concerned.",internal evaluation board,,*
consists of,academic community,academic community,academic staff,A college has its own academic community made up of its academic staff and students enrolled in its study programmes.,academic staff,,is staff member of academic community
consists of,academic community,academic community,students,A college has its own academic community made up of its academic staff and students enrolled in its study programmes.,student,,is student member of academic community
has,academic community,academic community,academic staff,The academic staff and students are members of the academic community.,academic staff,,is staff member of academic community
has,academic community,academic community,students,The academic staff and students are members of the academic community.,student,,is student member of academic community
includes,academic community,academic community,members,The members of the academic senate of a public college shall be elected from among the members of the academic community of the public college.,academic community member,,is member of academic community
includes,academic community,academic community,rector,It is a member of the academic community of the public college elected in rector's elections.,rector,,*
includes,academic community,academic community,members,The members of the disciplinary board of a public college are appointed by the rector from among the members of the academic community of the college.,academic community member,,is member of academic community
includes,academic community,academic community,members,"Oral examinations and the oral component of combined examinations are open to members of the academic community of the college; for reasons of capacity, the presence of the members of the academic community may be limited.",academic community member,,is member of academic community
enrolled in,student,student,study program,A student is a natural person who is enrolled in a study program.,study programme,,enrolled in
member of,student,student,academic community,"The members of the academic senate of a public college shall be elected from among the members of the academic community of the public college, of whom one member shall always be appointed from among the students of the public college concerned.",academic community,,is student member of academic community
member of,student,student,disciplinary board,Half of the members of the disciplinary board of a public college shall be students.,,,:has disciplinary board member
studies in,student,student,study programme,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis.",study programme,,*
studies in,student,student,study programme,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis.",study programme,,*
studies in,student,student,study programme,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor.,study programme,,*
registers to,student,student,subject,A student registers to the subjects that are compulsory and elective in the curriculum of the study program he or she is enrolled in.,subject,,registers to subject
completes,student,student,subject,Assessment of completion of the study of a subject means the verification of completion of the subject by the student.,subject,,*
assessed by,student,student,examiner,"The assessment of study is carried out by an examiner, who is always an academic member of staff.",,,*
is,natural person,academic staff,natural person,"Academic staff is a natural person who is a full professors, associate professors, extraordinary professors, assistant professors, assistant lecturers, lecturers and scientific, research and development staff who are employees of the college carrying out both teaching and creative activities in an employment relationship according to the agreed type of work.",natural person,,*
is,natural person,student,natural person,A student is a natural person who is enrolled in a study program.,natural person,,*
is part of,academic community member,academic community member,academic community,The academic staff and students are members of the academic community.,academic community,,is member of academic community
is part of,academic community member,academic community member,academic community,The members of the academic senate of a public college shall be elected from among the members of the academic community of the public college.,academic community,,is member of academic community
is part of,academic community member,academic community member,academic community,It is a member of the academic community of the public college elected in rector's elections.,academic community,,is member of academic community
is part of,academic community member,academic community member,academic community,The members of the disciplinary board of a public college are appointed by the rector from among the members of the academic community of the college.,academic community,,is member of academic community
is part of,academic community member,academic community member,academic community,"Oral examinations and the oral component of combined examinations are open to members of the academic community of the college; for reasons of capacity, the presence of the members of the academic community may be limited.",academic community,,is member of academic community
is member of,rector,rector,scientific council,"The scientific council of a public college has its own members, one of whom is the rector, who is also the chairperson of the scientific council.",scientific council,,-:has scientific council member;has scientific council chairperson
is chairperson of,rector,rector,internal evaluation board,The rector is the chairperson of the internal evaluation board.,internal evaluation board,,has internal evaluation board chairperson
appoints,rector,rector,vice-chairperson,The vice-chairperson of the board shall be appointed by the rector from among the academic staff of the public college who are professors or associate professors of the college.,,,*
appoints,rector,rector,member,"The other members of the board shall be appointed by the rector, one third of whom shall be appointed on the proposal of the academic board and one third on the proposal of the academic senate, of whom one member shall always be appointed from among the students of the public college concerned.",,,*
appoints,rector,rector,member,The members of the disciplinary board of a public college are appointed by the rector from among the members of the academic community of the college.,,,*
consults with,rector,minister,rector,"The members of the board of trustees of a public college shall be appointed by the minister in consultation with the rector, so that it includes adequate representation, in particular, of representatives of public life, professional chambers, employers' organisations or other persons or bodies carrying out, supporting or benefiting from the educational or creative activities of public colleges or their results, representatives of local and state government and alumni of the institution.",rector,,*
determines,rector,rector,measure,The bursar manages the management and internal administration of the public higher education institution and represents it to the extent determined by a measure of the rector.,,,*
has,scientific council,scientific council,member,"The scientific council of a public college has its own members, one of whom is the rector, who is also the chairperson of the scientific council.",,,has scientific council member
has chairperson,scientific council,scientific council,rector,"The scientific council of a public college has its own members, one of whom is the rector, who is also the chairperson of the scientific council.",rector,,has scientific council chairperson
is part of,scientific council,scientific council,public college,The scientific council of a public college...,public college,,:structured into
has chairperson,internal evaluation board,internal evaluation board,rector,The rector is the chairperson of the internal evaluation board.,rector,,has internal evaluation board chairperson
has vice-chairperson,internal evaluation board,internal evaluation board,academic staff,The vice-chairperson of the board shall be appointed by the rector from among the academic staff of the public college who are professors or associate professors of the college.,academic staff,,has internal evaluation board vice chairperson
has member,internal evaluation board,internal evaluation board,academic senate,The chairperson of the academic senate of a public college shall be a member of the internal evaluation board.,,,
has member,internal evaluation board,internal evaluation board,academic board,"The other members of the board shall be appointed by the rector, one third of whom shall be appointed on the proposal of the academic board and one third on the proposal of the academic senate, of whom one member shall always be appointed from among the students of the public college concerned.",,,
has member,internal evaluation board,internal evaluation board,academic senate,"The other members of the board shall be appointed by the rector, one third of whom shall be appointed on the proposal of the academic board and one third on the proposal of the academic senate, of whom one member shall always be appointed from among the students of the public college concerned.",,,
has member,internal evaluation board,internal evaluation board,student,"The other members of the board shall be appointed by the rector, one third of whom shall be appointed on the proposal of the academic board and one third on the proposal of the academic senate, of whom one member shall always be appointed from among the students of the public college concerned.",student,,:has internal evaluation board member
has members,disciplinary board,disciplinary board,member,The members of the disciplinary board of a public college are appointed by the rector from among the members of the academic community of the college.,academic community member,,has disciplinary board member
elects,disciplinary board,disciplinary board,chairperson,The disciplinary board of a public college shall elect its chairperson from among its members.,,,has disciplinary board chairperson
has members,disciplinary board,disciplinary board,student,Half of the members of the disciplinary board of a public college shall be students.,student,,:has disciplinary board member
is part of,disciplinary board,disciplinary board,public college,The disciplinary board of a public college are appointed by the rector from among the members of the academic community of the college.,public college,,:structured into
has,board of trustees,board of trustees,member,"The board of trustees of a public college shall have at least nine members, the number of which must always be divisible by three.",,,has board of trustees member
includes,board of trustees,board of trustees,representative,"...so that it includes adequate representation, in particular, of representatives of public life, professional chambers, employers' organisations...",,,*
includes,board of trustees,board of trustees,alumni,...of local and state government and alumni of the institution.,,,*
part of,faculty,faculty,college,A public college is divided into faculties.,college,,divided into
implements,faculty,faculty,study programme,A faculty implements at least one accredited study programme and carries out creative activities.,study programme,,implements study programme
appoints,faculty,faculty,study programme guarantor,"For study programmes carried out by a faculty, the faculty appoints and dismisses a study programme guarantor from among its academic staff according to the rules laid down in the internal regulations of the college.",,,has study programme guarantor
offers,faculty,faculty,subject,The faculty offers the subject...,subject,,*
stores,faculty,faculty,assessment,The faculty stores the written forms of assessment of study of the subject at least until the end of the following academic year.,subject completion assessment,,*
belongs to,subject,subject,field of education,"A study programme is a combined programme of study that belongs to more fields of education if the state examinations or, where appropriate, the dissertation defence test profiling knowledge or skills in the core subject areas belonging to more than one field of education.",education field,,
part of,subject,subject,curriculum,A subject can be a part of the curricula of one or more programmes of study.,curriculum,,is part of curriculum
offered by,subject,subject,faculty,The faculty offers the subject may state that for a given subject stipulated as compulsory or elective:,faculty,,*
registered by,subject,subject,student,A student registers to the subjects that are compulsory and elective in the curriculum of the study program he or she is enrolled in.,student,,registers to subject
assessed by,subject,subject,examiner,The assessment of study of a subject registered in a given unit of study may not be carried out later than by the end of the examination period of the summer semester of the academic year in which the student studied in the given unit of study.,,,*
described in,subject,subject,curriculum,An examination tests the student’s knowledge or his ability; the basic requirements for the examination are in accordance with the curriculum provided in the description of the subject and published in electronic form.,,,
of,curriculum,curriculum,study programme,Their sequence in time within the study programme is determined by the curriculum of the study programme.,study programme,,
determines,curriculum,curriculum,form of study,The curriculum also determines the form of study.,form of study,,determines form of study
created within,curriculum,curriculum,programme of study,"For the full-time form of study, the curriculum is created within the framework of a programme of study... For the combined form of study, the curriculum is created within the programme of study... For the distance learning form of study, the curriculum is created within the framework of the programme of study...",study programme,,has curriculum
stipulates,curriculum,curriculum,subject,"Curricula, with the exception of doctoral study, stipulate which subjects are compulsory or elective for students...",subject,,-stipulates compulsory subjects;*
of,curriculum,curriculum,study program,A student registers to the subjects that are compulsory and elective in the curriculum of the study program he or she is enrolled in.,study programme,,has curriculum
in accordance with,curriculum,examination,curriculum,The basic requirements for the examination are in accordance with the curriculum provided in the description of the subject and published in electronic form.,,,*
determined by,form of study,curriculum,form of study,The curriculum also determines the form of study.,form of study,,determines form of study
is a type of,form of study,form of study,"full-time study, combined study, distance learning study",The forms of study may be: a. full-time study; b. combined study; or c. distance learning study.,-full-time form of study;combined form of study;distance learning form of study,,*
has,form of study,form of study,programme of study,"For the full-time form of study, the curriculum is created within the framework of a programme of study...",study programme,,*
has,form of study,subject,form of study,"A subject is determined by the identification code, the number of semesters of instruction ..., the form of teaching, and the form of assessment of study.",form of study,,*
has,form of study,form of study,written forms of study assessment,The examiner must grade and publish the results of the written forms of study assessment...,,,
belongs to,education field,study programme,education field,A study programme belongs to only one field of education if the state examinations or the dissertation defence verify profiling knowledge or skills in the basic subject areas belonging to one field of education.,study programme,,*
belongs to,education field,study programme,education field,"A study programme is a combined programme of study that belongs to more fields of education if the state examinations or, where appropriate, the dissertation defence test profiling knowledge or skills in the core subject areas belonging to more than one field of education.",study programme,,*
has,education field,education field,study programme,"A field of education is a defined section of higher education within which study programmes of close or related content are prepared, approved and implemented, reflecting a common theoretical and methodological basis of the given field of education.",study programme,,*
includes,bachelor state final examination,bachelor state final examination,bachelor's thesis,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis.",,,*
completes,bachelor state final examination,bachelor state final examination,bachelor's degree study programme,The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination...,bachelor study programme,,*
prepares for,bachelor studies,bachelor studies,master studies,The Bachelor's degree study programme is aimed at preparing students for the profession and for study in a Master's degree programme.,master studies,,*
includes,bachelor studies,bachelor studies,bachelor's thesis,"The studies of a student in the Bachelor's degree study programme is duly completed by a state final examination, which usually includes the defense of the bachelor's thesis.",,,*
includes,bachelor thesis defense,state final examination,bachelor thesis defense,"...a state final examination, which usually includes the defense of the bachelor's thesis.",bachelor state final examination,,includes bachelor thesis defense
is part of,bachelor thesis defense,bachelor thesis defense,state final examination,...the defense of the bachelor's thesis.,bachelor state final examination,,includes bachelor thesis defense
follows,master studies,master studies,bachelor studies,"The Master's degree study programme is aimed at acquiring theoretical and practical knowledge based on the current state of scientific knowledge, research and development, at mastering their application and at developing skills for creative activity;",bachelor studies,,*
includes,master studies,master studies,diploma thesis,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis.",,,*
awards,master studies,master studies,academic degree,The following academic degrees are awarded to graduates of master's degree programmes:,,:awarded degree,
completes,master state final examination,master state final examination,studies,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis.",master studies,,completed by master state final examination
includes,master state final examination,master state final examination,defence of the diploma thesis,"The studies of a student in the Master's degree study programme are duly completed by a state final examination, which includes the defence of the diploma thesis.",diploma thesis defense,,includes diploma thesis defense
is carried out according to,individual study plan,studies,individual study plan,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor.,individual study plan,,carried out according to
under the guidance of,individual study plan,individual study plan,supervisor,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor.,supervisor,,*
guides,supervisor,supervisor,student,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor.,student,,*
has supervisor,doctoral studies,doctoral studies,supervisor,The studies of a student in the doctoral programme is carried out according to an individual study plan under the guidance of a supervisor.,supervisor,,guided by
is monitored by,doctoral studies,doctoral studies,subject board,Studies in a doctoral programme shall be monitored and evaluated by a subject board established in accordance with the internal regulations of the public college thereof which has accredited the relevant study programme.,subject board,,monitored by
has dissertation,doctoral studies,doctoral studies,dissertation,The dissertation must contain original and published results or results accepted for publication and it shall demonstrate the ability and readiness for independent research or development activities or independent theoretical and creative artistic activity.,dissertation,,*
completes,state doctoral examination,state doctoral examination,studies,The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation.,doctoral studies,,completed by state doctoral examination
is part of,dissertation defense,dissertation defense,studies,The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation.,doctoral studies,,completed by dissertation defense
is preceded by,dissertation defense,dissertation defense,state doctoral examination,The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation.,state doctoral examination,,*
is related to,dissertation defense,dissertation defense,dissertation,The dissertation must contain original and published results or results accepted for publication and it shall demonstrate the ability and readiness for independent research or development activities or independent theoretical and creative artistic activity.,dissertation,,is defense of dissertation
defence,dissertation,dissertation,study programme,A study programme belongs to only one field of education if the state examinations or the dissertation defence verify profiling knowledge or skills in the basic subject areas belonging to one field of education.,,,:completed by dissertation defense
defence,dissertation,dissertation,studies,The studies shall be duly completed by a state doctoral examination and a public defense of the dissertation.,dissertation,,*
contain,dissertation,dissertation,results,The dissertation must contain original and published results or results accepted for publication and it shall demonstrate the ability and readiness for independent research or development activities or independent theoretical and creative artistic activity.,,,*
monitors,subject board,subject board,study programme,Studies in a doctoral programme shall be monitored and evaluated by a subject board established in accordance with the internal regulations of the public college thereof which has accredited the relevant study programme.,study programme,,*
established by,subject board,subject board,public college,Studies in a doctoral programme shall be monitored and evaluated by a subject board established in accordance with the internal regulations of the public college thereof which has accredited the relevant study programme.,public college,,*
classified into,elective subjects group,elective subjects,elective subjects group,Elective subjects are classified into one or more groups of elective subjects in the curricula.,subject,,stipulates elective subjects
of,subject completion assessment,subject completion assessment,subject,Assessment of completion of the study of a subject means the verification of completion of the subject by the student.,subject,,assesses completion of
of,subject completion assessment,subject completion assessment,study,"Successful completion of these assessments of study of the subject means the classification ""pass"" or ""credited"".",,,
represents,colloquium,colloquium,assessment,"The colloquium, course credit, or course test may represent an independent assessment of the subject, or may represent a prerequisite for taking an examination in the given subject.",,,
is a prerequisite for,colloquium,colloquium,examination,"The colloquium, course credit, or course test may represent an independent assessment of the subject, or may represent a prerequisite for taking an examination in the given subject.",examination,,has colloquium prerequisite
has result,colloquium,colloquium,result,"The results of colloquium, course credit, and course test are graded as ""pass""-""fail"" or ""credited""-""not credited"".",,:results grade,
represents,course credit,course credit,subject,"The colloquium, course credit, or course test may represent an independent assessment of the subject, or may represent a prerequisite for taking an examination in the given subject.",,,
is granted to,course credit,course credit,student,"In contrast to course credit, a graded course credit denotes, in the same way as an examination, how well the student fulfilled the requirements for being granted the credit.",student,,*
represents,course test,course test,subject,"The colloquium, course credit, or course test may represent an independent assessment of the subject, or may represent a prerequisite for taking an examination in the given subject.",,,
is prerequisite for,course test,course test,examination,"The colloquium, course credit, or course test may represent an independent assessment of the subject, or may represent a prerequisite for taking an examination in the given subject.",examination,,has course test prerequisite
has,examination,examination,period,The assessment of study of a subject registered in a given unit of study may not be carried out later than by the end of the examination period of the summer semester of the academic year in which the student studied in the given unit of study.,,*,
takes,examination,student,examination,"The colloquium, course credit, or course test may represent an independent assessment of the subject, or may represent a prerequisite for taking an examination in the given subject.",student,,*
tests,examination,examination,knowledge,An examination tests the student’s knowledge or his ability; the basic requirements for the examination are in accordance with the curriculum provided in the description of the subject and published in electronic form.,,*,
has,examination,examination,form,"The forms of examination are oral, written, practical, or combined.",,form of examination,
