Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
light cycles,zoologist,zoologist,climate conditions,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
uv light exposure,zoologist,zoologist,reptiles,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,,
staff members,zoologist,zoologist,zoological gardens,Staff members of zoological gardens are integral to their operation.,,,
staff roles,zoologist,zoologist,staff members,"They include zoologists, veterinarians, caretakers, and administrative personnel.",staff member,,*
staff expertise,zoologist,zoologist,staff members,Each staff member has a name and expertise.,,,
expertise impact,zoologist,zoologist,staff members,Their expertise directly affects animal welfare.,,,
staff assignment,zoologist,zoologist,"caretakers, zoologists",Caretakers and zoologists are assigned to particular enclosures they are responsible for.,,,
caretaker responsibilities,zoologist,zoologist,caretakers,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,,,
caretaker quantity,zoologist,zoologist,enclosures,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,enclosure,,assigned to as zoologist
veterinarian responsibilities,zoologist,zoologist,veterinarians,Veterinarians are responsible for medical treatment of particular species.,,,
veterinarian assignment,zoologist,zoologist,veterinarians,"Therefore, they are not assigned to enclosures or individual animals but species.",,,
conservation strategies,zoologist,zoologist,conservation programs,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,,
species focus,zoologist,zoologist,conservation programs,A conservation program focuses on particular species it supports.,,,
conservation collaborations,zoologist,zoologist,conservation programs,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,
reintroduction programs,zoologist,zoologist,conservation programs,Specific animals may be part of reintroduction conservation programs.,,,
medical treatment,veterinarian,veterinarian,species,Veterinarians are responsible for medical treatment of particular species.,species,,responsible for
assigned to,veterinarian,veterinarian,species,Veterinarians are not assigned to enclosures or individual animals but species.,species,,responsible for
assigned to enclosure,caretaker,caretaker,enclosure,Caretakers are assigned to particular enclosures they are responsible for. Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,assigned as caretaker
responsible for daily care,caretaker,caretaker,animal,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure.,,,
requires multiple caretakers,caretaker,enclosure,caretaker,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,enclosure,,assigned as caretaker
participates in,conservation program,conservation program,zoological garden,conservation programs a zoological garden participates in,zoological garden,,participates in
collaborates with,conservation program,conservation program,global conservation entity,conservation programs often collaborate with global conservation entities,,,
is involved in,conservation program,conservation program,research,conservation programs are pivotal in research,,,
is involved in,conservation program,conservation program,breeding program,conservation programs are pivotal in breeding programs,,,
is involved in,conservation program,conservation program,reintroduction effort,conservation programs are pivotal in reintroduction efforts,,,
supports,conservation program,conservation program,species,conservation programs focus on particular species it supports,species,,supports
participates in,reintroduction conservation program,reintroduction conservation program,conservation initiative,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,,
focuses on,reintroduction conservation program,reintroduction conservation program,species,A conservation program focuses on particular species it supports.,,,
collaborates with,reintroduction conservation program,reintroduction conservation program,global conservation entity,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,
has part,reintroduction conservation program,reintroduction conservation program,animal,Specific animals may be part of reintroduction conservation programs.,animal,,is part of program
