Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
reproductive details,species,"The reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,-gestation period;natural breeding time;reproductive age,
breeding season,species,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,natural breeding time,
gestation period,species,"Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period.",,gestation period,
eggs laid at once,species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,:number of laid eggs,
enclosure type,species,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,*
enclosure size,species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure design and maintenance,species,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
thermal preference,species,"Temperature is perhaps the most critical element in an enclosure's climate conditions. Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,*,
humidity preference,species,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,*,
light cycle preference,species,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
u v_light_requirement,species,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,*,
ventilation requirement,species,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,*,
diet,diet,They are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.,animal,,has specified diet
feeding strategy,diet,This classification helps in formulating appropriate feeding strategies.,,*,
nutrients required,diet,The diet is also related to specific nutrients required to maintain health and vitality.,,nutrients,
vitamins or minerals,diet,"For example, some species may require particular vitamins or minerals in higher quantities than others.",,*,
feeding schedule,diet,The feeding schedule is essential.,,feeding schedule,
feeding frequency,diet,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,feeding schedule,
feeding technique,diet,The diet can also be associated with a special feeding technique,,feeding technique,
species name,oviparous species,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species. For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,:species name,
species common name,oviparous species,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species. For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,:species common name,
i ucn_status,oviparous species,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,:iucn status,
diet,oviparous species,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc. This classification helps in formulating appropriate feeding strategies. The diet is also related to specific nutrients required to maintain health and vitality. For example, some species may require particular vitamins or minerals in higher quantities than others. For the diet, the feeding schedule is essential. It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health. Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals. The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
reproductive age,oviparous species,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs. First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,:reproductive age,
breeding season,oviparous species,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs. This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,:natural breeding time,
gestation period,oviparous species,"Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period.",,:gestation period,
eggs per clutch,oviparous species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,number of laid eggs,
enclosure size,oviparous species,"Enclosures are specialized habitats designed to mimic the natural environments of the resident species. They are critical for the ethical display and conservation of animals. A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved. Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure type,oviparous species,"Enclosures are specialized habitats designed to mimic the natural environments of the resident species. They are critical for the ethical display and conservation of animals. A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved. Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
climate conditions,oviparous species,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation. These climate conditions are essential for mimicking the natural habitat of animals as closely as possible, which not only ensures their physical health but also supports their psychological well-being by encouraging natural behaviors and physiological functions. Temperature is perhaps the most critical element in an enclosure's climate conditions. Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health. Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas. Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort. Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors. Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism. The absence of adequate UV lighting in the climate conditions can lead to health problems like metabolic bone disease. Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.",climate conditions,,*
is specialized habitat,enclosure,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,species,,resident of
is critical for ethical display and conservation,enclosure,They are critical for the ethical display and conservation of animals.,,,
has size type climate conditions and vegetation,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,+enclosure size;enclosure type;vegetation,
requires proper design and maintenance,enclosure,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
requires specific climate conditions,enclosure,Climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,climate conditions,,has climate conditions
has controlled environmental factors,enclosure,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",climate conditions,,has climate conditions
requires specific temperature,enclosure,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,*,
requires specific humidity levels,enclosure,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,*,
requires consistent light cycles,enclosure,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
requires ultraviolet light exposure,enclosure,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,*,
requires proper ventilation,enclosure,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,*,
climate conditions,climate conditions,climate conditions,,,
temperature,climate conditions,temperature,,temperature,
humidity levels,climate conditions,humidity levels,,humidity level,
lighting,climate conditions,lighting,,light cycles,
ventilation,climate conditions,ventilation,,ventilation,
ultraviolet light,climate conditions,ultraviolet light,,ultraviolet light,
position,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",,*,
name,staff member,Each staff member has a name and expertise.,,name,
birth date,staff member,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,birth date,
permanent address,staff member,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,permanent address,
assigned enclosures,staff member,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,-:assigned as caretaker;:assigned to as zoologist
daily care and training,staff member,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure.,,,
responsible species,staff member,Veterinarians are responsible for medical treatment of particular species.,species,,:responsible for
purpose,conservation program,"A zoological garden is a complex entity where the interplay of biological diversity, human interaction, and environmental management coalesce into a singular institution aimed at conservation, education, and research.",zoological garden,,participates in
central entities,conservation program,Animals are the central entities in a zoological garden.,,,
species properties,conservation program,"Properties such as species name and species common name, and IUCN status characterize the species.",,,
diet,conservation program,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
animal name,conservation program,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,,
species naming,conservation program,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,,
i ucn_status,conservation program,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,,
importance of diet,conservation program,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",,,
diet types,conservation program,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,,
diet nutrients,conservation program,The diet is also related to specific nutrients required to maintain health and vitality.,,,
feeding schedule,conservation program,"For the diet, the feeding schedule is essential.",,,
feeding frequency,conservation program,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,,
feeding technique,conservation program,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
reproductive details,conservation program,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,,
reproductive age,conservation program,"First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,,
breeding season,conservation program,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,,
gestation period,conservation program,"Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period.",,,
egg laying frequency,conservation program,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,,
enclosure purpose,conservation program,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
enclosure properties,conservation program,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure maintenance,conservation program,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
climate temperature,conservation program,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,,
climate humidity,conservation program,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,,
climate light cycles,conservation program,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
climate uv light,conservation program,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,,
climate ventilation,conservation program,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,,
staff role,conservation program,Staff members of zoological gardens are integral to their operation.,,,
staff properties,conservation program,Each staff member has a name and expertise.,,,
conservation program purpose,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,,
conservation program focus,conservation program,A conservation program focuses on particular species it supports.,species,,supports
conservation program region,conservation program,Conservation programs with ex-situ strategies also focus on specific countries or geographic regions.,,country,
conservation program collaboration,conservation program,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
reintroduction programs,conservation program,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,*
