Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
species classification,species,animals,species,"Animals are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",animal,,classified by
reproductive age,species,species,reproductive details,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs. First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,reproductive age,
enclosures,species,zoological garden,species,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
enclosure characteristics,species,enclosure,species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",enclosure,,resident of
climate conditions,species,enclosure,species,"Climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation. These climate conditions are essential for mimicking the natural habitat of animals as closely as possible, which not only ensures their physical health but also supports their psychological well-being by encouraging natural behaviors and physiological functions.",enclosure,,resident of
thermal preference,species,species,enclosure,"Temperature is perhaps the most critical element in an enclosure's climate conditions. Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,,
humidity levels,species,climate conditions,species,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,*,
light cycles,species,climate conditions,species,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
veterinarian responsibility,species,veterinarians,species,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",veterinarian,,responsible for
conservation programs,species,zoological garden,species,"Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions. These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",,,
specified diet,diet,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",animal,,has specified diet
feeding strategies,diet,diet,animal,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc. This classification helps in formulating appropriate feeding strategies.",animal,,has specified diet
nutrients required to maintain health and vitality,diet,diet,animal,The diet is also related to specific nutrients required to maintain health and vitality.,animal,,has specified diet
feeding schedule,diet,diet,animal,"For the diet, the feeding schedule is essential. It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",animal,,has specified diet
special feeding technique,diet,diet,animal,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",animal,,has specified diet
has,enclosure,enclosure,species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",species,,resident of
houses,enclosure,enclosure,animal,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",animal,,*
has,enclosure,enclosure,climate conditions,"Climate conditions are essential for mimicking the natural habitat of animals as closely as possible, which not only ensures their physical health but also supports their psychological well-being by encouraging natural behaviors and physiological functions.",climate conditions,,has climate conditions
has climate conditions,climate conditions,enclosure,climate conditions,climate conditions,climate conditions,,has climate conditions
has temperature,climate conditions,climate conditions,temperature,temperature,,temperature,
has humidity,climate conditions,climate conditions,humidity,humidity,,humidity level,
has lighting,climate conditions,climate conditions,lighting,lighting,,light cycles,
has ventilation,climate conditions,climate conditions,ventilation,ventilation,,ventilation,
has light cycles,climate conditions,climate conditions,light cycles,Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat,,light cycles,
ensures exposure to ultraviolet light,climate conditions,climate conditions,species,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light",,ultraviolet light,
has effect on air quality,climate conditions,ventilation,climate conditions,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure,,ventilation,
expertise,staff member,staff member,-,Each staff member has a name and expertise. Their expertise directly affects animal welfare.,,expertise,
assigned to,staff member,staff member,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,+assigned as caretaker;assigned to as zoologist
responsible for,staff member,staff member,enclosure,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,assigned as caretaker
has animal,zoologist,zoologist,animal,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
has reproductive details,zoologist,zoologist,animal species,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,,
provides enclosure,zoologist,zoologist,enclosure,Enclosures are specialized habitats designed to mimic the natural environments of the resident species. They are critical for the ethical display and conservation of animals. A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,,,
controls climate conditions,zoologist,zoologist,enclosure,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,,
employs,zoologist,zoological garden,zoologist,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",zoologist,,:has member
medical treatment,veterinarian,veterinarian,animal species,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",species,,responsible for
daily care and behavioral training,caretaker,caretaker,animal,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure.,animal,,*
assigned to enclosures,caretaker,caretaker,enclosure,Caretakers are assigned to particular enclosures they are responsible for.,enclosure,,assigned as caretaker
participates in,conservation program,zoological garden,conservation program,"Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions. These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",zoological garden,,participates in
collaborates with,conservation program,conservation program,global conservation entity,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",,,*
focuses on,conservation program,conservation program,species,A conservation program focuses on particular species it supports.,species,,supports
focuses on,conservation program,conservation program,country or geographic region,Conversation programs with ex-situ strategies also focus on specific countries or geographic regions.,,+country;geographic region,
part of,conservation program,animal,conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,:is part of program
reintroduction conservation program,reintroduction conservation program,specific animals,reintroduction conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,is part of program
