Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
humidity levels,climate conditions,climate conditions,species from tropical or aquatic environments,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,humidity level,
light cycles,climate conditions,climate conditions,animal's native habitat,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,light cycles,
ultraviolet light,climate conditions,climate conditions,reptiles,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism. The absence of adequate UV lighting in the climate conditions can lead to health problems like metabolic bone disease.",,ultraviolet light,
ventilation,climate conditions,climate conditions,enclosure,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,ventilation,
operation,staff member,zoological gardens,staff member,Staff members of zoological gardens are integral to their operation.,zoological garden,,has member
include,staff member,staff member,"zoologist, veterinarian, caretaker, administrative personnel","They include zoologists, veterinarians, caretakers, and administrative personnel.",+zoologist;veterinarian;caretaker;administrative personnel,,*
has,staff member,staff member,"name, expertise",Each staff member has a name and expertise.,,+name;expertise,
has animals,zoologist,zoologist,animal,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
manages diet,zoologist,zoologist,animal,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
names animals,zoologist,zoologist,animal,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,,
classifies animals,zoologist,zoologist,species,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,,
evaluates conservation priority,zoologist,zoologist,species,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,,
manages reproductive details,zoologist,zoologist,species,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,,
designs enclosures,zoologist,zoologist,enclosure,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
manages climate conditions,zoologist,zoologist,enclosure,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
employs staff,zoologist,zoologist,staff,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",,,
participates in conservation programs,zoologist,zoologist,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,,
medical treatment,veterinarian,veterinarian,species,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",species,,responsible for
assigned to,caretaker,caretaker,enclosure,Caretakers are assigned to particular enclosures they are responsible for. Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure. An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,enclosure,,assigned as caretaker
responsible for,caretaker,caretaker,animal,Caretakers are assigned to particular enclosures they are responsible for. Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure. An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,animal,,*
participates in,conservation program,zoological garden,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,zoological garden,,participates in
supports,conservation program,conservation program,species,A conservation program focuses on particular species it supports.,species,,supports
collaborates with,conservation program,conservation program,global conservation entities,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
