Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
enclosure climate conditions,animal,"Enclosures are specialized habitats designed to mimic the natural environments of the resident species. They are critical for the ethical display and conservation of animals. A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved. Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure vegetation,animal,"Enclosures are specialized habitats designed to mimic the natural environments of the resident species. They are critical for the ethical display and conservation of animals. A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved. Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure temperature,animal,"Temperature is perhaps the most critical element in an enclosure's climate conditions. Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health. Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,*,
enclosure humidity,animal,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,,
enclosure lighting,animal,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
enclosure ventilation,animal,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,,
enclosure uv lighting,animal,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism. The absence of adequate UV lighting in the climate conditions can lead to health problems like metabolic bone disease.",,*,
staff name,animal,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. Each staff member has a name and expertise.",,,
staff expertise,animal,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. Each staff member has a name and expertise.",,,
staff birth date,animal,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,,
staff address,animal,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,,
staff enclosure assignment,animal,Caretakers and zoologists are assigned to particular enclosures they are responsible for. Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,,,
staff species assignment,animal,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",,,
conservation program focus,animal,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions.,,,
conservation program strategy,animal,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions.,,,
conservation program collaboration,animal,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,
conservation animal participation,animal,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,:is part of program
species name,species,properties such as species name,,species name,
species common name,species,properties such as species name and species common name,,species common name,
i ucn_status,species,"properties such as species name and species common name, and IUCN status",,iucn status,
diet type,species,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,,
required nutrients,species,"The diet is also related to specific nutrients required to maintain health and vitality. For example, some species may require particular vitamins or minerals in higher quantities than others.",,,
reproduction age,species,"First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,reproductive age,
breeding season,species,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,natural breeding time,
gestation period,species,"Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period.",,gestation period,
enclosure size,species,Each enclosure is characterized by its size in square meters,,,
enclosure type,species,"Each enclosure is characterized by its type (e.g., aviary, aquarium, terrarium)",,,
enclosure climate conditions,species,Each enclosure is characterized by its climate conditions,,,
enclosure vegetation,species,Each enclosure is characterized by its vegetation,,,
enclosure temperature,species,"Temperature is perhaps the most critical element in an enclosure's climate conditions. Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,*,
enclosure humidity,species,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,*,
enclosure lighting,species,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
enclosure ventilation,species,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,,
staff name,species,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. Each staff member has a name",,,
staff expertise,species,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. Each staff member has a name and expertise",,,
staff birth date,species,"For the administrative purposes, we need to keep staff member's birth date",,,
staff address,species,"For the administrative purposes, we need to keep staff member's permanent address",,,
staff enclosure assignment,species,Caretakers and zoologists are assigned to particular enclosures they are responsible for,,,
staff daily care,species,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure,,,
staff species assignment,species,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species",veterinarian,,responsible for
conservation program focus,species,A conservation program focuses on particular species it supports,conservation program,,supports
conservation program location,species,Conversation programs with ex-situ strategies also focus on specific countries or geographic regions,,,
conservation program collaboration,species,These conservation programs often collaborate with global conservation entities,,,
conservation program strategy,species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies,,,
conservation program animal participation,species,Specific animals may be part of reintroduction conservation programs,,,
diet,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
feeding strategy,diet,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc. This classification helps in formulating appropriate feeding strategies.",,diet type,
feeding schedule,diet,"The feeding schedule is essential. It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,feeding schedule,
feeding technique,diet,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,feeding technique,
nutrients,diet,"The diet is also related to specific nutrients required to maintain health and vitality. For example, some species may require particular vitamins or minerals in higher quantities than others.",,nutrients,
classification,oviparous species,"Animals are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",animal,,:classified by
diet,oviparous species,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction. We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc. This classification helps in formulating appropriate feeding strategies. The diet is also related to specific nutrients required to maintain health and vitality. For example, some species may require particular vitamins or minerals in higher quantities than others. For the diet, the feeding schedule is essential. It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health. Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals. The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
reproductive details,oviparous species,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs. First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important. This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating. Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period. For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,+:gestation period;natural breeding time;reproductive age,
enclosure size,enclosure,its size in square meters,,enclosure size,
enclosure type,enclosure,"type (e.g., aviary, aquarium, terrarium)",,enclosure type,
enclosure climate conditions,enclosure,climate conditions,climate conditions,,has climate conditions
enclosure vegetation,enclosure,vegetation,,vegetation,
climate conditions,climate conditions,climate conditions,,,
climate conditions details,climate conditions,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation. These climate conditions are essential for mimicking the natural habitat of animals as closely as possible, which not only ensures their physical health but also supports their psychological well-being by encouraging natural behaviors and physiological functions. Temperature is perhaps the most critical element in an enclosure's climate conditions. Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health. Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas. Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort. Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors. Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism. The absence of adequate UV lighting in the climate conditions can lead to health problems like metabolic bone disease. Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.",,+:ventilation;ultraviolet light;light cycles;humidity level;temperature,
staff member,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",+zoologist;veterinarian;caretaker;administrative personnel,,*
name,staff member,Each staff member has a name,,name,
expertise,staff member,"They include zoologists, veterinarians, caretakers, and administrative personnel.",,expertise,
assignment,staff member,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,enclosure,,+:assigned as caretaker;:assigned to as zoologist
responsibilities,staff member,Caretakers are responsible for daily care and behavioral training of the animals in the enclosure.,enclosure,,:assigned as caretaker
veterinarian responsibilities,staff member,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",species,,:responsible for
conservation focus,conservation program,"A zoological garden is a complex entity where the interplay of biological diversity, human interaction, and environmental management coalesce into a singular institution aimed at conservation, education, and research.",,*,
animal classification,conservation program,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",,,
animal diet,conservation program,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
animal name,conservation program,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,,
animal diet details,conservation program,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction. We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc. This classification helps in formulating appropriate feeding strategies. The diet is also related to specific nutrients required to maintain health and vitality. For example, some species may require particular vitamins or minerals in higher quantities than others. For the diet, the feeding schedule is essential. It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health. Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals. The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
animal reproductive details,conservation program,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs. First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important. This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating. Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period. For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,,
enclosure details,conservation program,"Enclosures are specialized habitats designed to mimic the natural environments of the resident species. They are critical for the ethical display and conservation of animals. A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved. Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure. The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
enclosure climate conditions,conservation program,"Climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation. These climate conditions are essential for mimicking the natural habitat of animals as closely as possible, which not only ensures their physical health but also supports their psychological well-being by encouraging natural behaviors and physiological functions. Temperature is perhaps the most critical element in an enclosure's climate conditions. Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health. Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas. Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort. Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors. Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism. The absence of adequate UV lighting in the climate conditions can lead to health problems like metabolic bone disease. Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.",,,
staff details,conservation program,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel. Each staff member has a name and expertise. For the administrative purposes, we need to keep staff member's birth date and permanent address.",,,
conservation program details,conservation program,"Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies. A conservation program focuses on particular species it supports. Conversation programs with ex-situ strategies also focus on specific countries or geographic regions. These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts. Specific animals may be part of reintroduction conservation programs.",,+geographic region;country,
